symbol,score,close,pivot,dist_to_pivot_pct,box_span_pct,atr_ratio,vol5_to_vol50,uptrend,within_20pct_high,nr7_today,inside_today,tv20_cr
PTCIL,0.6503,14750.0,14850.0,0.67,5.09,0.6,0.55,False,True,False,False,21.38
SUNPHARMA,0.6387,1718.0,1731.3,0.77,3.49,0.77,0.6,False,True,False,False,280.75
PIIND,0.6274,4254.0,4258.0,0.09,6.64,1.08,0.45,True,True,False,False,56.28
APOLLOHOSP,0.6029,7469.0,7502.0,0.44,4.4,1.01,0.84,True,True,False,False,336.64
RAMCOCEM,0.6023,1194.5,1196.0,0.13,6.11,1.29,0.51,True,True,False,False,56.15
HDFCBANK,0.5938,2023.2,2037.7,0.71,4.19,0.99,0.81,True,True,False,False,1539.08
LUPIN,0.5927,1984.2,1987.0,0.14,5.53,0.93,0.68,False,True,False,False,195.21
DRREDDY,0.5868,1301.0,1302.0,0.08,5.46,0.82,1.27,True,True,False,False,180.57
ALKEM,0.5777,5069.0,5097.5,0.56,6.13,0.71,0.45,False,False,False,False,55.6
ZYDUSLIFE,0.5745,995.6,997.95,0.24,4.66,0.94,0.86,True,False,False,False,85.09
ESCORTS,0.5561,3489.9,3499.7,0.28,7.02,0.74,0.55,False,False,False,False,30.31
JSWSTEEL,0.5494,1035.9,1053.5,1.67,3.48,0.87,0.85,True,True,False,False,152.85
NAVINFLUOR,0.5262,5130.0,5180.0,0.97,6.74,0.94,0.77,True,True,False,False,52.13
HINDALCO,0.5206,693.95,704.4,1.48,5.98,0.76,0.88,True,True,False,False,286.75
ICICIBANK,0.5197,1484.9,1500.0,1.01,6.16,0.87,0.97,True,True,False,False,1244.44
TATASTEEL,0.5194,162.22,165.6,2.04,5.3,0.83,0.63,True,True,False,False,376.06
INDIGO,0.5158,5765.0,5964.5,3.34,4.54,0.77,0.36,True,True,False,False,474.07
BAYERCROP,0.5076,6330.5,6491.0,2.47,5.16,0.95,0.36,True,True,False,True,23.36
AUROPHARMA,0.5026,1157.4,1166.8,0.81,5.77,0.81,0.7,False,False,False,False,111.99
HINDZINC,0.4963,437.2,449.0,2.63,5.17,0.57,0.23,False,False,False,False,114.5
MRF,0.4958,149270.0,153000.0,2.44,4.32,0.94,0.59,True,True,False,True,112.57
LT,0.4946,3488.0,3548.7,1.71,4.12,0.77,0.9,False,True,False,False,499.18
MUTHOOTFIN,0.4851,2617.7,2718.0,3.69,5.18,0.77,0.45,True,True,False,False,87.2
SBILIFE,0.4816,1833.2,1858.0,1.33,5.67,1.01,0.93,True,True,False,True,163.47
DIXON,0.4816,16799.0,16969.0,1.0,7.49,0.73,0.87,False,True,True,False,680.45
ASAHIINDIA,0.4773,831.5,876.4,5.12,6.79,0.84,0.16,True,True,True,False,54.29
MARUTI,0.4755,12488.0,12719.0,1.82,3.61,0.87,0.91,False,True,False,False,326.23
ONGC,0.4755,241.1,247.35,2.53,3.96,0.59,0.55,False,False,False,False,187.44
BHARATFORG,0.4644,1219.0,1241.7,1.83,4.65,0.85,0.54,False,False,False,False,105.57
