date,open,high,low,close,volume
2023-12-07 00:00:00+05:30,358.3,378.9,354.1,375.4,1376817
2023-12-08 00:00:00+05:30,377.7,379.4,373.6,377.15,541398
2023-12-11 00:00:00+05:30,379.0,392.7,375.25,390.1,1041593
2023-12-12 00:00:00+05:30,388.2,397.1,383.25,386.6,642206
2023-12-13 00:00:00+05:30,385.3,396.65,381.1,394.7,457963
2023-12-14 00:00:00+05:30,395.45,396.0,384.3,385.95,530712
2023-12-15 00:00:00+05:30,385.95,386.2,368.05,369.8,798385
2023-12-18 00:00:00+05:30,370.95,376.35,366.1,368.65,353253
2023-12-19 00:00:00+05:30,369.15,381.45,366.75,377.4,579609
2023-12-20 00:00:00+05:30,377.4,379.3,355.45,356.55,709597
2023-12-21 00:00:00+05:30,356.55,365.6,352.05,364.5,251712
2023-12-22 00:00:00+05:30,365.85,370.0,362.0,364.0,221595
2023-12-26 00:00:00+05:30,366.0,368.9,360.95,363.65,176684
2023-12-27 00:00:00+05:30,366.1,367.85,356.8,357.9,311038
2023-12-28 00:00:00+05:30,358.9,360.0,350.45,351.15,270440
2023-12-29 00:00:00+05:30,352.0,356.55,350.6,351.9,283031
2024-01-01 00:00:00+05:30,351.9,354.35,346.2,349.55,407119
2024-01-02 00:00:00+05:30,349.55,353.8,346.35,349.0,340934
2024-01-03 00:00:00+05:30,350.75,354.0,348.15,349.75,214285
2024-01-04 00:00:00+05:30,350.95,352.45,342.65,343.9,432892
2024-01-05 00:00:00+05:30,345.0,345.1,333.3,333.95,1520015
2024-01-08 00:00:00+05:30,336.25,341.9,330.4,338.15,1006841
2024-01-09 00:00:00+05:30,340.0,350.0,338.1,345.35,900173
2024-01-10 00:00:00+05:30,347.8,359.0,346.0,355.1,1256116
2024-01-11 00:00:00+05:30,357.4,367.0,353.9,365.55,1171023
2024-01-12 00:00:00+05:30,365.9,369.9,361.45,364.15,484707
2024-01-15 00:00:00+05:30,365.05,367.5,361.6,363.45,271069
2024-01-16 00:00:00+05:30,363.95,372.8,363.0,368.2,601921
2024-01-17 00:00:00+05:30,368.0,374.8,368.0,370.45,688255
2024-01-18 00:00:00+05:30,370.45,383.7,369.05,376.5,1214730
2024-01-19 00:00:00+05:30,377.15,384.8,377.15,383.7,495553
2024-01-20 00:00:00+05:30,384.4,385.4,366.25,370.75,310705
2024-01-23 00:00:00+05:30,372.0,394.0,372.0,384.1,2281154
2024-01-24 00:00:00+05:30,386.7,387.25,382.85,385.7,337403
2024-01-25 00:00:00+05:30,386.5,391.85,381.15,388.45,340968
2024-01-29 00:00:00+05:30,388.5,390.0,377.15,380.35,292263
2024-01-30 00:00:00+05:30,380.0,381.2,369.1,370.2,256938
2024-01-31 00:00:00+05:30,370.05,380.0,367.05,377.65,477572
2024-02-01 00:00:00+05:30,380.0,408.7,380.0,388.9,3511671
2024-02-02 00:00:00+05:30,390.05,396.0,372.1,374.35,909710
2024-02-05 00:00:00+05:30,377.0,398.65,374.5,395.85,1009994
2024-02-06 00:00:00+05:30,399.25,407.7,381.35,387.55,659754
2024-02-07 00:00:00+05:30,381.05,388.25,374.6,376.1,431895
2024-02-08 00:00:00+05:30,377.25,385.95,372.6,380.5,351062
2024-02-09 00:00:00+05:30,381.65,383.55,364.6,373.85,381578
2024-02-12 00:00:00+05:30,374.95,382.35,363.05,365.55,319274
2024-02-13 00:00:00+05:30,361.1,404.0,361.1,398.9,4116407
