date,open,high,low,close,volume
2023-12-07 00:00:00+05:30,635.25,638.35,629.0,635.15,61037
2023-12-08 00:00:00+05:30,636.0,640.95,633.2,635.0,84862
2023-12-11 00:00:00+05:30,638.95,644.6,634.0,643.15,120570
2023-12-12 00:00:00+05:30,648.0,648.0,634.65,639.3,72626
2023-12-13 00:00:00+05:30,639.3,639.35,633.35,637.1,38606
2023-12-14 00:00:00+05:30,642.0,642.0,635.0,640.5,61448
2023-12-15 00:00:00+05:30,644.95,644.95,630.15,633.8,72553
2023-12-18 00:00:00+05:30,633.0,641.5,631.15,638.5,85846
2023-12-19 00:00:00+05:30,638.95,659.8,638.0,645.4,234515
2023-12-20 00:00:00+05:30,649.4,654.5,628.0,633.4,257571
2023-12-21 00:00:00+05:30,629.9,644.8,627.15,642.95,170408
2023-12-22 00:00:00+05:30,650.0,650.05,638.5,645.35,55553
2023-12-26 00:00:00+05:30,648.4,661.6,645.35,654.75,160285
2023-12-27 00:00:00+05:30,664.0,664.65,649.6,657.7,129349
2023-12-28 00:00:00+05:30,661.0,662.95,650.05,654.7,87158
2023-12-29 00:00:00+05:30,654.0,658.95,647.0,657.05,61583
2024-01-01 00:00:00+05:30,659.0,660.0,652.1,655.2,60771
2024-01-02 00:00:00+05:30,659.45,719.95,655.65,714.2,1648198
2024-01-03 00:00:00+05:30,721.8,735.75,700.7,729.9,388117
2024-01-04 00:00:00+05:30,732.0,735.0,716.4,725.5,204137
2024-01-05 00:00:00+05:30,721.0,728.85,693.05,697.65,187024
2024-01-08 00:00:00+05:30,717.7,717.7,692.0,710.15,130649
2024-01-09 00:00:00+05:30,710.95,724.75,710.15,723.35,157077
2024-01-10 00:00:00+05:30,725.0,746.9,724.1,745.25,333577
2024-01-11 00:00:00+05:30,750.0,750.0,740.0,745.45,91703
2024-01-12 00:00:00+05:30,749.95,749.95,735.0,739.55,100414
2024-01-15 00:00:00+05:30,745.0,758.45,738.3,748.05,136986
2024-01-16 00:00:00+05:30,748.0,761.95,745.1,756.2,137977
2024-01-17 00:00:00+05:30,754.0,758.8,745.15,751.65,87841
2024-01-18 00:00:00+05:30,751.65,760.0,740.0,756.6,147375
2024-01-19 00:00:00+05:30,760.0,788.0,755.0,782.85,239912
2024-01-20 00:00:00+05:30,786.0,807.75,782.25,798.5,175849
2024-01-23 00:00:00+05:30,797.55,798.0,772.65,790.2,167733
2024-01-24 00:00:00+05:30,790.0,805.0,747.55,799.55,230019
2024-01-25 00:00:00+05:30,798.75,845.0,793.05,836.2,311707
2024-01-29 00:00:00+05:30,836.2,848.65,827.25,840.1,318767
2024-01-30 00:00:00+05:30,845.0,855.0,835.0,840.05,215854
2024-01-31 00:00:00+05:30,845.0,878.3,842.0,872.55,269422
2024-02-01 00:00:00+05:30,875.0,882.0,810.0,856.7,208360
2024-02-02 00:00:00+05:30,856.7,876.9,852.05,871.3,117596
2024-02-05 00:00:00+05:30,875.0,888.95,864.75,873.0,184842
2024-02-06 00:00:00+05:30,873.0,897.7,867.55,884.45,100008
2024-02-07 00:00:00+05:30,878.2,892.35,878.2,884.3,64931
2024-02-08 00:00:00+05:30,879.95,880.15,820.5,872.05,554518
2024-02-09 00:00:00+05:30,872.95,883.4,841.0,871.0,703249
2024-02-12 00:00:00+05:30,865.0,865.0,846.55,860.25,100167
2024-02-13 00:00:00+05:30,864.9,870.0,831.45,866.25,130024
2024-02-14 00:00:00+05:30,857.6,872.0,850.0,867.5,58023
2024-02-15 00:00:00+05:30,870.0,891.8,868.0,875.7,256784
2024-02-16 00:00:00+05:30,869.0,883.95,869.0,878.5,82093
2024-02-19 00:00:00+05:30,884.95,896.9,873.95,882.25,83541
2024-02-20 00:00:00+05:30,883.0,900.0,870.05,879.6,112873
2024-02-21 00:00:00+05:30,879.5,885.05,870.0,876.85,47082
2024-02-22 00:00:00+05:30,874.95,881.5,861.5,877.55,201565
2024-02-23 00:00:00+05:30,878.5,884.05,871.25,874.8,51472
