date,open,high,low,close,volume
2023-12-07 00:00:00+05:30,20.4,21.35,20.2,20.65,33703654
2023-12-08 00:00:00+05:30,21.0,23.8,20.6,23.3,161040735
2023-12-11 00:00:00+05:30,23.9,24.25,23.15,23.35,51179534
2023-12-12 00:00:00+05:30,23.5,24.85,22.65,23.0,80378426
2023-12-13 00:00:00+05:30,23.25,23.5,22.4,22.9,22874379
2023-12-14 00:00:00+05:30,23.3,23.4,22.5,22.65,15034520
2023-12-15 00:00:00+05:30,22.8,23.6,22.6,22.95,25412345
2023-12-18 00:00:00+05:30,22.95,23.0,22.5,22.6,14262406
2023-12-19 00:00:00+05:30,22.7,23.4,22.65,22.95,18552117
2023-12-20 00:00:00+05:30,23.05,23.85,20.5,20.85,43880495
2023-12-21 00:00:00+05:30,20.85,21.75,20.5,21.55,21870898
2023-12-22 00:00:00+05:30,21.65,21.9,21.2,21.65,12807053
2023-12-26 00:00:00+05:30,21.8,21.95,21.5,21.85,9732571
2023-12-27 00:00:00+05:30,22.0,22.05,21.35,21.5,9243474
2023-12-28 00:00:00+05:30,21.7,21.7,21.05,21.2,8939279
2023-12-29 00:00:00+05:30,21.35,21.65,21.1,21.35,12044912
2024-01-01 00:00:00+05:30,21.4,21.85,21.4,21.5,10352267
2024-01-02 00:00:00+05:30,21.65,25.8,21.0,25.8,93697408
2024-01-03 00:00:00+05:30,27.45,29.1,27.0,27.65,215644507
2024-01-04 00:00:00+05:30,28.2,28.25,26.8,27.15,62997398
2024-01-05 00:00:00+05:30,27.5,32.55,27.4,32.3,344757127
2024-01-08 00:00:00+05:30,33.4,35.5,33.1,35.5,42721219
2024-01-09 00:00:00+05:30,37.5,39.05,35.85,37.05,186790122
2024-01-10 00:00:00+05:30,37.6,38.4,36.4,37.5,71780749
2024-01-11 00:00:00+05:30,37.8,38.75,36.5,36.8,50418947
2024-01-12 00:00:00+05:30,36.95,37.25,33.7,34.5,55325695
2024-01-15 00:00:00+05:30,35.15,35.85,33.8,34.05,28395773
2024-01-16 00:00:00+05:30,34.2,34.35,31.25,32.5,33764787
2024-01-17 00:00:00+05:30,32.3,34.0,31.55,33.1,31474430
2024-01-18 00:00:00+05:30,31.0,31.45,29.8,31.05,45270398
2024-01-19 00:00:00+05:30,31.6,32.6,31.6,31.9,20994756
2024-01-20 00:00:00+05:30,32.5,32.55,31.4,31.65,10789226
2024-01-23 00:00:00+05:30,31.9,32.15,30.0,30.1,17720522
2024-01-24 00:00:00+05:30,30.3,33.1,29.05,33.0,49794980
2024-01-25 00:00:00+05:30,32.8,33.6,32.05,32.25,21213985
2024-01-29 00:00:00+05:30,32.5,32.85,31.8,32.05,16312280
2024-01-30 00:00:00+05:30,32.35,32.45,31.3,31.6,10906221
2024-01-31 00:00:00+05:30,32.0,32.7,30.85,32.5,8421138
2024-02-01 00:00:00+05:30,32.5,32.6,31.5,31.6,5275738
2024-02-02 00:00:00+05:30,32.25,32.25,30.3,31.15,6631746
2024-02-05 00:00:00+05:30,31.2,31.85,30.5,30.55,8217556
2024-02-06 00:00:00+05:30,31.35,31.35,30.3,30.55,5793069
2024-02-07 00:00:00+05:30,30.9,31.1,30.6,30.8,5186982
2024-02-08 00:00:00+05:30,31.05,31.25,30.45,30.5,4494438
2024-02-09 00:00:00+05:30,31.0,31.05,29.35,29.9,5286060
2024-02-12 00:00:00+05:30,30.7,30.7,28.4,28.55,5819015
2024-02-13 00:00:00+05:30,28.55,29.5,27.15,29.05,6019549
2024-02-14 00:00:00+05:30,28.95,29.2,28.3,29.0,2489053
2024-02-15 00:00:00+05:30,29.2,29.8,29.1,29.4,3084651
2024-02-16 00:00:00+05:30,29.9,29.95,29.0,29.05,2848978
2024-02-19 00:00:00+05:30,29.1,30.0,28.4,29.4,4344564
2024-02-20 00:00:00+05:30,29.5,29.7,29.0,29.05,2392311
2024-02-21 00:00:00+05:30,29.3,29.4,28.45,28.5,3099819
2024-02-22 00:00:00+05:30,28.5,28.8,28.0,28.55,2653186
2024-02-23 00:00:00+05:30,28.65,29.9,28.5,29.65,5973666
2024-02-26 00:00:00+05:30,30.05,30.5,29.6,29.7,4550216
2024-02-27 00:00:00+05:30,29.7,29.75,28.7,28.9,2485616
2024-02-28 00:00:00+05:30,28.9,29.4,27.5,27.9,3646516
2024-02-29 00:00:00+05:30,28.05,29.25,27.4,28.85,3653924
2024-03-01 00:00:00+05:30,29.4,29.55,28.6,28.65,2518374
2024-03-02 00:00:00+05:30,28.85,29.1,28.0,28.7,745061
2024-03-04 00:00:00+05:30,29.0,29.0,28.05,28.1,2269527
2024-03-05 00:00:00+05:30,28.3,28.35,27.6,27.7,2237705
2024-03-06 00:00:00+05:30,29.05,29.05,29.05,29.05,3495385
2024-03-07 00:00:00+05:30,30.5,30.5,29.9,30.5,8862660
2024-03-11 00:00:00+05:30,32.0,32.0,29.65,29.9,7925918
2024-03-12 00:00:00+05:30,30.0,30.5,28.4,28.55,3750144
2024-03-13 00:00:00+05:30,28.5,28.55,27.15,27.15,3264820
2024-03-14 00:00:00+05:30,26.05,28.35,25.8,28.15,5960900
2024-03-15 00:00:00+05:30,28.05,28.1,26.9,27.4,3232195
2024-03-18 00:00:00+05:30,27.4,28.75,27.4,27.7,2390209
2024-03-19 00:00:00+05:30,27.7,28.0,27.0,27.15,2890492
2024-03-20 00:00:00+05:30,27.4,27.6,25.8,26.6,3168975
2024-03-21 00:00:00+05:30,27.0,27.3,26.85,27.05,2289731
2024-03-22 00:00:00+05:30,27.0,27.95,27.0,27.35,2420236
2024-03-26 00:00:00+05:30,27.5,27.7,26.6,26.65,4569939
2024-03-27 00:00:00+05:30,26.7,27.2,26.0,26.1,4946768
2024-03-28 00:00:00+05:30,26.3,26.4,25.8,25.85,5506293
2024-04-01 00:00:00+05:30,26.05,27.1,26.05,27.1,3371897
2024-04-02 00:00:00+05:30,28.0,28.45,27.5,28.45,5699975
2024-04-03 00:00:00+05:30,28.5,29.5,28.0,29.3,5481086
2024-04-04 00:00:00+05:30,29.6,29.95,28.6,29.0,3439334
2024-04-05 00:00:00+05:30,29.0,29.4,28.6,28.7,2643940
2024-04-08 00:00:00+05:30,28.8,29.0,28.15,28.2,2227145
2024-04-09 00:00:00+05:30,28.4,28.95,28.2,28.4,2441486
2024-04-10 00:00:00+05:30,28.7,28.7,27.0,27.8,2749377
2024-04-12 00:00:00+05:30,28.0,28.1,27.55,27.65,2008698
2024-04-15 00:00:00+05:30,26.65,27.85,26.3,27.0,3356230
2024-04-16 00:00:00+05:30,26.8,28.1,26.55,27.35,2901093
2024-04-18 00:00:00+05:30,27.8,28.7,27.5,28.7,4481867
2024-04-19 00:00:00+05:30,28.1,28.6,27.3,27.8,5220393
2024-04-22 00:00:00+05:30,27.8,27.8,26.55,27.4,4720134
2024-04-23 00:00:00+05:30,27.8,27.8,27.1,27.4,5040344
2024-04-24 00:00:00+05:30,27.55,28.5,27.4,27.7,6124687
2024-04-25 00:00:00+05:30,27.55,27.9,27.5,27.6,3637311
2024-04-26 00:00:00+05:30,27.8,27.85,27.25,27.55,4815220
2024-04-29 00:00:00+05:30,27.75,28.4,27.5,27.55,7261537
2024-04-30 00:00:00+05:30,27.75,27.95,27.25,27.3,3715817
2024-05-02 00:00:00+05:30,27.4,27.55,26.75,26.95,5166350
