date,open,high,low,close,volume
2023-12-07 00:00:00+05:30,561.8,567.1,556.05,562.8,54453
2023-12-08 00:00:00+05:30,567.5,567.5,553.0,556.9,70653
2023-12-11 00:00:00+05:30,562.0,562.0,549.0,550.65,94351
2023-12-12 00:00:00+05:30,550.0,558.9,542.6,545.55,360148
2023-12-13 00:00:00+05:30,551.0,559.3,544.3,557.25,71857
2023-12-14 00:00:00+05:30,559.9,563.0,547.1,548.75,71740
2023-12-15 00:00:00+05:30,554.0,565.0,554.0,563.75,111925
2023-12-18 00:00:00+05:30,567.65,574.25,560.7,566.85,117014
2023-12-19 00:00:00+05:30,569.9,573.7,558.65,562.35,110501
2023-12-20 00:00:00+05:30,567.85,572.5,548.6,553.35,195074
2023-12-21 00:00:00+05:30,550.0,563.0,550.0,561.95,55167
2023-12-22 00:00:00+05:30,563.8,566.7,557.0,562.35,54403
2023-12-26 00:00:00+05:30,562.35,566.6,550.2,555.25,73602
2023-12-27 00:00:00+05:30,556.0,561.55,556.0,559.25,52960
2023-12-28 00:00:00+05:30,563.0,581.5,561.05,566.9,187504
2023-12-29 00:00:00+05:30,572.0,580.5,562.95,576.6,167233
2024-01-01 00:00:00+05:30,578.95,587.0,567.1,569.75,167523
2024-01-02 00:00:00+05:30,575.0,588.1,561.05,582.75,743574
2024-01-03 00:00:00+05:30,583.5,587.2,573.0,580.95,123174
2024-01-04 00:00:00+05:30,580.95,584.15,573.1,575.4,59734
2024-01-05 00:00:00+05:30,580.0,580.0,567.2,570.1,166235
2024-01-08 00:00:00+05:30,570.1,572.45,558.3,560.6,79599
2024-01-09 00:00:00+05:30,562.8,566.1,550.2,551.85,176554
2024-01-10 00:00:00+05:30,552.95,559.8,552.65,557.9,67525
2024-01-11 00:00:00+05:30,557.95,571.45,556.2,565.15,190955
2024-01-12 00:00:00+05:30,565.15,571.45,564.0,569.45,95896
2024-01-15 00:00:00+05:30,574.9,574.9,560.0,561.45,57537
2024-01-16 00:00:00+05:30,565.75,565.75,554.15,556.95,76271
2024-01-17 00:00:00+05:30,561.0,561.0,549.0,552.95,57010
2024-01-18 00:00:00+05:30,552.95,555.4,537.3,552.55,59838
2024-01-19 00:00:00+05:30,556.0,558.85,545.0,548.45,48844
2024-01-20 00:00:00+05:30,548.45,553.6,541.0,543.35,50734
2024-01-23 00:00:00+05:30,556.0,637.45,542.0,557.8,3091887
2024-01-24 00:00:00+05:30,559.95,588.85,556.55,580.7,646959
2024-01-25 00:00:00+05:30,580.7,596.0,559.0,569.55,467706
2024-01-29 00:00:00+05:30,565.0,568.55,538.1,539.25,368329
2024-01-30 00:00:00+05:30,540.65,546.6,521.2,523.15,416822
2024-01-31 00:00:00+05:30,527.5,537.3,524.0,524.95,347792
2024-02-01 00:00:00+05:30,530.15,539.2,510.0,516.35,376388
2024-02-02 00:00:00+05:30,521.0,536.0,519.1,523.15,259376
2024-02-05 00:00:00+05:30,527.8,542.5,520.8,536.4,257179
2024-02-06 00:00:00+05:30,537.05,555.9,537.05,545.8,208312
2024-02-07 00:00:00+05:30,545.8,553.75,545.0,547.0,80994
2024-02-08 00:00:00+05:30,550.0,559.95,536.15,539.05,215032
2024-02-09 00:00:00+05:30,544.85,549.85,532.55,546.65,142445
2024-02-12 00:00:00+05:30,552.9,553.25,517.2,520.3,140897
2024-02-13 00:00:00+05:30,528.0,542.75,511.05,534.2,199012
2024-02-14 00:00:00+05:30,532.0,549.8,532.0,545.5,118479
2024-02-15 00:00:00+05:30,545.5,552.0,537.4,540.15,171014
2024-02-16 00:00:00+05:30,542.0,549.0,541.5,543.65,58960
2024-02-19 00:00:00+05:30,545.3,547.45,535.0,538.7,54686
2024-02-20 00:00:00+05:30,541.9,541.9,535.2,536.85,44721
2024-02-21 00:00:00+05:30,538.7,539.95,528.0,531.05,58811
2024-02-22 00:00:00+05:30,532.7,539.9,526.8,535.95,97678
2024-02-23 00:00:00+05:30,539.95,540.0,531.8,535.85,67579
2024-02-26 00:00:00+05:30,536.55,540.3,529.15,536.1,106387
2024-02-27 00:00:00+05:30,535.1,538.95,532.45,535.8,52764
2024-02-28 00:00:00+05:30,539.95,540.0,529.2,535.25,107247
2024-02-29 00:00:00+05:30,529.9,540.9,525.05,535.4,113184
2024-03-01 00:00:00+05:30,541.05,542.0,528.5,532.5,133523
2024-03-02 00:00:00+05:30,536.95,537.9,530.1,534.3,3677
2024-03-04 00:00:00+05:30,535.05,537.5,528.0,534.45,52177
2024-03-05 00:00:00+05:30,534.45,537.5,528.2,534.85,49586
2024-03-06 00:00:00+05:30,534.05,535.45,518.1,520.3,205467
2024-03-07 00:00:00+05:30,524.3,529.0,518.0,520.95,66592
2024-03-11 00:00:00+05:30,520.95,527.3,510.55,523.0,121579
2024-03-12 00:00:00+05:30,522.0,524.65,516.4,517.65,75876
2024-03-13 00:00:00+05:30,517.65,521.95,507.0,512.55,159906
2024-03-14 00:00:00+05:30,510.0,532.45,506.0,519.85,112078
2024-03-15 00:00:00+05:30,520.45,523.15,505.3,509.5,58955
2024-03-18 00:00:00+05:30,509.0,515.75,505.0,506.5,35536
2024-03-19 00:00:00+05:30,506.5,523.45,501.55,516.25,445101
2024-03-20 00:00:00+05:30,516.25,520.3,508.6,511.2,288941
2024-03-21 00:00:00+05:30,513.55,526.0,513.55,520.45,77985
2024-03-22 00:00:00+05:30,520.45,533.9,515.5,530.8,61863
2024-03-26 00:00:00+05:30,533.0,540.0,524.75,528.8,100724
2024-03-27 00:00:00+05:30,529.45,540.0,529.45,533.85,155368
2024-03-28 00:00:00+05:30,533.0,543.4,531.75,536.35,96737
2024-04-01 00:00:00+05:30,540.0,558.85,538.05,553.15,111869
2024-04-02 00:00:00+05:30,550.0,572.7,550.0,563.0,204697
2024-04-03 00:00:00+05:30,564.65,564.65,555.0,559.25,57945
2024-04-04 00:00:00+05:30,555.0,575.0,555.0,567.6,199669
2024-04-05 00:00:00+05:30,573.0,617.0,572.45,595.55,3804993
2024-04-08 00:00:00+05:30,599.4,605.4,587.55,599.0,185490
2024-04-09 00:00:00+05:30,599.0,611.1,590.15,594.45,155506
2024-04-10 00:00:00+05:30,597.5,603.0,589.0,599.6,129362
2024-04-12 00:00:00+05:30,597.85,601.65,585.0,587.75,91249
2024-04-15 00:00:00+05:30,575.1,596.55,566.15,586.9,136355
2024-04-16 00:00:00+05:30,585.8,592.0,581.8,585.1,73828
2024-04-18 00:00:00+05:30,586.85,590.9,573.05,575.35,61419
2024-04-19 00:00:00+05:30,575.35,580.0,562.8,575.5,70908
2024-04-22 00:00:00+05:30,579.85,584.85,571.5,577.65,52413
2024-04-23 00:00:00+05:30,578.95,614.95,573.2,603.85,249643
2024-04-24 00:00:00+05:30,610.9,618.7,600.5,603.5,283879
2024-04-25 00:00:00+05:30,603.5,606.4,593.7,598.25,69976
2024-04-26 00:00:00+05:30,603.45,611.25,594.45,606.95,145135
2024-04-29 00:00:00+05:30,611.0,617.95,601.25,604.45,88203
2024-04-30 00:00:00+05:30,604.45,609.45,595.0,601.65,93639
2024-05-02 00:00:00+05:30,598.05,610.0,597.85,606.05,71497
2024-05-03 00:00:00+05:30,610.0,611.3,596.9,603.0,72701
2024-05-06 00:00:00+05:30,600.1,660.0,599.3,640.2,2640895
2024-05-07 00:00:00+05:30,646.0,647.1,621.0,623.15,338340
2024-05-08 00:00:00+05:30,621.85,638.0,613.4,628.65,167976
2024-05-09 00:00:00+05:30,635.7,645.0,606.25,614.0,236602
2024-05-10 00:00:00+05:30,617.5,618.95,602.85,608.15,193665
2024-05-13 00:00:00+05:30,613.7,613.7,584.1,588.55,179836
2024-05-14 00:00:00+05:30,592.0,611.0,590.0,603.15,143323
2024-05-15 00:00:00+05:30,605.0,627.0,594.95,613.7,414032
2024-05-16 00:00:00+05:30,614.9,620.0,600.75,606.25,88838
2024-05-17 00:00:00+05:30,606.35,614.0,602.85,607.7,68765
2024-05-18 00:00:00+05:30,606.9,621.95,596.95,605.1,31222
2024-05-21 00:00:00+05:30,607.0,610.0,596.1,598.7,54904
2024-05-22 00:00:00+05:30,594.0,602.3,591.05,595.1,43319
2024-05-23 00:00:00+05:30,594.0,598.85,591.15,592.5,41780
2024-05-24 00:00:00+05:30,592.5,621.9,591.0,604.15,105365
2024-05-27 00:00:00+05:30,604.15,609.45,591.0,592.75,68841
2024-05-28 00:00:00+05:30,590.0,595.95,575.9,582.75,62868
2024-05-29 00:00:00+05:30,578.7,590.3,576.7,588.5,39306
2024-05-30 00:00:00+05:30,588.5,599.95,584.5,591.35,81811
2024-05-31 00:00:00+05:30,592.9,604.2,582.35,588.1,78609
2024-06-03 00:00:00+05:30,598.0,598.0,582.1,594.35,90832
2024-06-04 00:00:00+05:30,594.35,596.95,540.0,575.35,130383
2024-06-05 00:00:00+05:30,582.0,585.0,557.9,580.45,69204
2024-06-06 00:00:00+05:30,582.0,600.9,582.0,592.45,73662
2024-06-07 00:00:00+05:30,598.0,615.4,592.55,601.95,96172
2024-06-10 00:00:00+05:30,605.75,612.45,602.1,605.0,54728
2024-06-11 00:00:00+05:30,605.0,633.95,603.0,616.7,364717
2024-06-12 00:00:00+05:30,624.0,624.05,614.0,617.4,76358
2024-06-13 00:00:00+05:30,619.9,623.0,609.85,617.05,86723
2024-06-14 00:00:00+05:30,622.55,628.3,615.65,620.1,115320
2024-06-18 00:00:00+05:30,625.55,673.45,620.0,669.55,1881722
2024-06-19 00:00:00+05:30,679.0,690.0,654.0,669.5,817671
2024-06-20 00:00:00+05:30,672.0,685.0,660.55,677.25,252028
2024-06-21 00:00:00+05:30,677.0,689.95,672.95,677.9,278017
2024-06-24 00:00:00+05:30,680.0,718.0,679.95,708.85,1137767
2024-06-25 00:00:00+05:30,715.0,722.0,697.0,701.4,246219
2024-06-26 00:00:00+05:30,707.5,708.25,681.6,684.55,185036
2024-06-27 00:00:00+05:30,691.4,697.0,672.5,676.5,176211
2024-06-28 00:00:00+05:30,670.1,684.8,667.65,671.0,97446
2024-07-01 00:00:00+05:30,678.0,699.05,674.5,687.5,230029
2024-07-02 00:00:00+05:30,692.0,692.9,680.0,682.2,75652
2024-07-03 00:00:00+05:30,688.2,701.5,679.1,699.75,287364
2024-07-04 00:00:00+05:30,701.0,706.45,683.0,688.5,127778
2024-07-05 00:00:00+05:30,694.0,698.8,679.9,690.45,97620
2024-07-08 00:00:00+05:30,694.0,694.0,668.15,673.1,99331
2024-07-09 00:00:00+05:30,677.95,694.0,672.0,676.2,124421
2024-07-10 00:00:00+05:30,678.7,681.45,654.0,664.25,108221
2024-07-11 00:00:00+05:30,670.0,672.35,659.95,664.6,86225
2024-07-12 00:00:00+05:30,670.0,670.0,645.55,653.25,213047
2024-07-15 00:00:00+05:30,654.95,659.8,648.05,649.55,81603
2024-07-16 00:00:00+05:30,649.9,659.4,645.25,646.75,80080
