date,open,high,low,close,volume
2023-12-07 00:00:00+05:30,86.0,87.1,85.3,86.4,31240230
2023-12-08 00:00:00+05:30,86.4,86.6,84.45,85.0,26092520
2023-12-11 00:00:00+05:30,84.95,85.8,84.7,85.3,17019280
2023-12-12 00:00:00+05:30,85.4,85.75,83.1,83.6,24168354
2023-12-13 00:00:00+05:30,84.0,85.15,82.5,84.65,32703392
2023-12-14 00:00:00+05:30,85.0,85.9,84.8,85.5,29574844
2023-12-15 00:00:00+05:30,85.8,85.85,84.4,84.7,26310114
2023-12-18 00:00:00+05:30,84.7,85.45,84.3,85.2,23722454
2023-12-19 00:00:00+05:30,85.7,86.0,84.65,85.2,17573004
2023-12-20 00:00:00+05:30,86.0,87.0,81.9,82.5,44285892
2023-12-21 00:00:00+05:30,81.6,83.15,80.15,82.2,40828344
2023-12-22 00:00:00+05:30,83.5,83.9,82.9,83.5,22549822
2023-12-26 00:00:00+05:30,84.15,85.0,83.8,84.5,25650964
2023-12-27 00:00:00+05:30,85.0,85.55,84.05,84.6,27152558
2023-12-28 00:00:00+05:30,85.0,85.6,84.6,85.2,20960488
2023-12-29 00:00:00+05:30,86.2,89.0,85.2,88.3,76584618
2024-01-01 00:00:00+05:30,88.8,91.55,88.35,90.5,78709586
2024-01-02 00:00:00+05:30,91.3,92.3,87.4,87.7,68089230
2024-01-03 00:00:00+05:30,88.6,88.6,86.5,87.4,22227448
2024-01-04 00:00:00+05:30,88.2,88.2,87.3,87.5,24513982
2024-01-05 00:00:00+05:30,88.0,88.6,86.6,87.25,24088158
2024-01-08 00:00:00+05:30,87.8,88.45,86.2,86.6,26718538
2024-01-09 00:00:00+05:30,87.25,87.8,86.0,86.2,13181118
2024-01-10 00:00:00+05:30,86.4,86.4,84.4,85.2,22316780
2024-01-11 00:00:00+05:30,86.3,86.45,85.4,85.8,17255542
2024-01-12 00:00:00+05:30,85.9,86.2,85.3,85.85,15226674
