date,open,high,low,close,volume
2023-12-07 00:00:00+05:30,546.45,546.45,520.0,524.3,476906
2023-12-08 00:00:00+05:30,526.15,531.95,521.0,527.6,195352
2023-12-11 00:00:00+05:30,527.0,527.0,521.2,526.0,290414
2023-12-12 00:00:00+05:30,527.0,536.5,520.85,533.25,599879
2023-12-13 00:00:00+05:30,533.65,536.5,525.75,532.7,170424
2023-12-14 00:00:00+05:30,534.65,546.9,532.55,538.75,345023
2023-12-15 00:00:00+05:30,541.65,550.0,540.1,547.6,217312
2023-12-18 00:00:00+05:30,548.6,548.6,532.55,535.85,289607
2023-12-19 00:00:00+05:30,538.75,548.0,534.05,544.45,197120
2023-12-20 00:00:00+05:30,544.45,547.65,533.0,537.35,352821
2023-12-21 00:00:00+05:30,527.35,545.55,521.05,540.75,182514
2023-12-22 00:00:00+05:30,542.9,555.0,537.05,552.35,355027
2023-12-26 00:00:00+05:30,554.75,555.0,547.0,553.3,218200
2023-12-27 00:00:00+05:30,557.0,580.0,549.75,559.2,962930
2023-12-28 00:00:00+05:30,562.5,562.5,553.1,558.6,276086
2023-12-29 00:00:00+05:30,555.0,558.6,544.05,546.1,221044
2024-01-01 00:00:00+05:30,546.0,556.0,543.05,546.4,145982
2024-01-02 00:00:00+05:30,548.3,559.0,545.55,553.9,156524
2024-01-03 00:00:00+05:30,553.7,558.25,548.0,550.95,103818
2024-01-04 00:00:00+05:30,552.9,574.9,552.6,567.55,524870
2024-01-05 00:00:00+05:30,570.0,585.0,568.9,573.35,1276363
2024-01-08 00:00:00+05:30,574.75,584.5,574.55,580.35,972448
2024-01-09 00:00:00+05:30,584.0,587.8,571.55,574.1,270557
2024-01-10 00:00:00+05:30,574.1,578.35,570.0,573.85,129323
2024-01-11 00:00:00+05:30,577.9,580.0,566.2,570.95,137183
2024-01-12 00:00:00+05:30,572.65,592.0,571.0,583.05,480677
2024-01-15 00:00:00+05:30,583.05,587.45,571.15,580.65,205533
2024-01-16 00:00:00+05:30,584.0,591.1,574.1,587.45,693001
2024-01-17 00:00:00+05:30,577.05,583.6,567.2,576.75,413016
2024-01-18 00:00:00+05:30,576.75,585.0,566.55,577.8,277837
2024-01-19 00:00:00+05:30,581.5,584.8,572.1,576.05,136948
2024-01-20 00:00:00+05:30,578.15,582.0,575.0,577.1,75328
2024-01-23 00:00:00+05:30,580.65,593.0,561.0,570.65,234324
2024-01-24 00:00:00+05:30,575.95,581.5,564.05,576.4,148461
2024-01-25 00:00:00+05:30,579.0,582.15,568.05,573.8,115842
2024-01-29 00:00:00+05:30,575.75,585.8,574.2,583.7,165195
2024-01-30 00:00:00+05:30,586.65,605.9,580.0,581.9,493859
2024-01-31 00:00:00+05:30,593.0,603.55,586.65,591.7,316354
2024-02-01 00:00:00+05:30,596.0,598.9,576.2,584.2,248693
2024-02-02 00:00:00+05:30,588.1,597.2,535.7,547.55,1026472
2024-02-05 00:00:00+05:30,548.0,575.9,542.6,547.4,407859
2024-02-06 00:00:00+05:30,550.1,564.0,550.1,558.7,268145
2024-02-07 00:00:00+05:30,562.0,569.4,555.55,564.0,290705
