date,open,high,low,close,volume
2023-12-07 00:00:00+05:30,593.9,594.75,578.6,590.5,169777
2023-12-08 00:00:00+05:30,594.0,594.0,578.1,583.0,139305
2023-12-11 00:00:00+05:30,583.0,590.85,577.0,589.55,888267
2023-12-12 00:00:00+05:30,589.9,620.8,587.15,614.6,2198805
2023-12-13 00:00:00+05:30,624.8,646.4,622.4,642.6,2031110
2023-12-14 00:00:00+05:30,645.0,660.9,638.9,642.5,476235
2023-12-15 00:00:00+05:30,642.1,686.7,636.5,677.25,764487
2023-12-18 00:00:00+05:30,670.0,675.0,660.7,669.4,245769
2023-12-19 00:00:00+05:30,669.4,677.85,660.6,668.55,165772
2023-12-20 00:00:00+05:30,671.0,676.75,641.1,653.0,226179
2023-12-21 00:00:00+05:30,636.0,664.35,628.55,649.6,379721
2023-12-22 00:00:00+05:30,652.0,674.0,646.35,653.25,158220
2023-12-26 00:00:00+05:30,653.25,668.95,645.1,649.85,165644
2023-12-27 00:00:00+05:30,654.95,669.55,644.65,659.2,143891
2023-12-28 00:00:00+05:30,662.0,684.5,647.4,679.0,369700
2023-12-29 00:00:00+05:30,675.85,718.2,670.0,696.45,1730148
2024-01-01 00:00:00+05:30,699.0,700.9,684.15,687.75,188557
2024-01-02 00:00:00+05:30,692.6,692.6,674.0,677.8,260946
2024-01-03 00:00:00+05:30,677.8,682.05,671.3,677.85,88637
2024-01-04 00:00:00+05:30,679.75,693.5,678.05,679.85,149681
2024-01-05 00:00:00+05:30,683.25,690.0,678.15,685.05,104880
2024-01-08 00:00:00+05:30,690.0,715.0,677.15,705.7,755792
2024-01-09 00:00:00+05:30,717.9,739.25,706.5,724.65,461956
2024-01-10 00:00:00+05:30,730.0,769.0,726.2,735.75,938119
2024-01-11 00:00:00+05:30,734.75,754.05,728.55,749.2,315690
2024-01-12 00:00:00+05:30,752.2,762.4,746.35,749.1,183719
2024-01-15 00:00:00+05:30,755.0,759.25,732.75,740.15,178215
2024-01-16 00:00:00+05:30,743.7,743.7,716.75,719.15,173877
2024-01-17 00:00:00+05:30,719.15,730.55,710.0,724.35,129102
2024-01-18 00:00:00+05:30,726.0,740.0,715.2,719.45,302603
2024-01-19 00:00:00+05:30,728.0,738.45,713.8,717.2,204728
2024-01-20 00:00:00+05:30,720.75,734.6,720.75,730.7,46904
2024-01-23 00:00:00+05:30,734.0,775.0,728.05,752.05,698762
2024-01-24 00:00:00+05:30,757.0,763.0,722.65,747.3,247442
2024-01-25 00:00:00+05:30,765.0,794.85,755.05,761.9,801418
2024-01-29 00:00:00+05:30,765.0,768.15,750.1,757.2,241577
2024-01-30 00:00:00+05:30,759.9,763.0,725.05,753.75,346812
2024-01-31 00:00:00+05:30,749.25,785.0,749.2,777.1,356266
2024-02-01 00:00:00+05:30,780.9,789.2,754.3,761.15,103464
2024-02-02 00:00:00+05:30,764.7,793.3,762.15,786.6,471759
2024-02-05 00:00:00+05:30,794.65,801.9,778.0,782.8,218420
2024-02-06 00:00:00+05:30,782.85,818.0,782.85,807.0,370532
2024-02-07 00:00:00+05:30,812.0,816.6,794.6,806.7,182547
2024-02-08 00:00:00+05:30,809.5,830.35,796.0,800.9,254962
2024-02-09 00:00:00+05:30,805.0,839.0,803.35,819.15,594983
2024-02-12 00:00:00+05:30,819.0,836.85,798.0,817.35,166316
2024-02-13 00:00:00+05:30,806.0,849.0,804.9,831.2,407629
2024-02-14 00:00:00+05:30,823.0,839.0,807.4,833.15,136223
2024-02-15 00:00:00+05:30,835.7,873.7,832.25,839.45,467917
2024-02-16 00:00:00+05:30,845.0,865.0,841.25,858.35,231168
2024-02-19 00:00:00+05:30,864.9,877.0,834.0,839.0,239912
2024-02-20 00:00:00+05:30,841.35,891.75,830.0,838.1,923159
2024-02-21 00:00:00+05:30,846.0,860.7,825.0,829.7,262127
2024-02-22 00:00:00+05:30,838.8,860.0,815.1,847.8,178255
2024-02-23 00:00:00+05:30,850.25,868.8,835.0,862.8,184680
2024-02-26 00:00:00+05:30,867.35,875.05,846.05,849.85,290780
2024-02-27 00:00:00+05:30,854.0,865.0,838.3,840.15,241613
2024-02-28 00:00:00+05:30,849.7,849.7,811.35,819.75,238183
2024-02-29 00:00:00+05:30,819.05,827.65,792.95,810.5,408948
2024-03-01 00:00:00+05:30,818.35,822.4,790.0,797.65,288145
2024-03-02 00:00:00+05:30,799.0,825.0,792.45,818.55,15846
2024-03-04 00:00:00+05:30,826.6,834.95,803.25,812.6,154407
2024-03-05 00:00:00+05:30,818.35,820.15,786.0,795.3,182679
2024-03-06 00:00:00+05:30,799.6,802.25,763.0,765.25,241310
2024-03-07 00:00:00+05:30,765.0,789.75,750.6,753.5,225295
2024-03-11 00:00:00+05:30,756.8,760.55,719.6,743.4,451243
2024-03-12 00:00:00+05:30,750.85,766.55,720.0,741.95,447739
2024-03-13 00:00:00+05:30,734.3,755.0,705.45,725.15,486848
2024-03-14 00:00:00+05:30,681.05,725.15,681.05,716.35,388067
2024-03-15 00:00:00+05:30,719.95,759.0,702.75,735.25,2257194
2024-03-18 00:00:00+05:30,737.35,746.75,725.05,738.0,125077
2024-03-19 00:00:00+05:30,742.0,749.9,730.0,743.5,77176
2024-03-20 00:00:00+05:30,743.5,798.4,742.35,794.4,1449745
2024-03-21 00:00:00+05:30,790.1,832.2,790.1,823.45,1115264
2024-03-22 00:00:00+05:30,815.05,831.65,809.4,819.1,612128
2024-03-26 00:00:00+05:30,818.0,895.4,811.15,868.8,1150022
2024-03-27 00:00:00+05:30,868.8,910.45,806.9,871.75,993361
2024-03-28 00:00:00+05:30,875.05,958.0,875.05,883.3,3035993
2024-04-01 00:00:00+05:30,900.75,917.15,882.05,901.4,449616
2024-04-02 00:00:00+05:30,895.65,899.7,875.55,877.75,180312
2024-04-03 00:00:00+05:30,878.5,885.95,862.85,871.55,304616
2024-04-04 00:00:00+05:30,875.7,879.5,845.0,848.35,390109
2024-04-05 00:00:00+05:30,849.9,861.0,843.0,850.9,241701
2024-04-08 00:00:00+05:30,855.5,863.9,845.35,855.3,94293
2024-04-09 00:00:00+05:30,855.3,859.0,846.0,850.55,71928
2024-04-10 00:00:00+05:30,856.5,862.6,842.55,859.65,94420
2024-04-12 00:00:00+05:30,866.0,884.5,856.65,875.75,213672
2024-04-15 00:00:00+05:30,856.0,865.2,831.4,858.8,223028
2024-04-16 00:00:00+05:30,854.35,862.8,843.0,850.25,94410
2024-04-18 00:00:00+05:30,850.25,853.15,832.6,845.75,184406
2024-04-19 00:00:00+05:30,830.0,887.7,813.0,879.65,688087
2024-04-22 00:00:00+05:30,886.5,900.9,868.75,887.55,210645
2024-04-23 00:00:00+05:30,896.45,896.45,870.05,886.75,118889
2024-04-24 00:00:00+05:30,883.55,894.0,876.1,883.9,155766
2024-04-25 00:00:00+05:30,879.4,930.35,879.35,894.15,193701
2024-04-26 00:00:00+05:30,898.65,901.35,865.0,883.8,126212
2024-04-29 00:00:00+05:30,886.8,892.6,866.3,871.45,83083
2024-04-30 00:00:00+05:30,873.8,879.4,861.0,864.9,60833
2024-05-02 00:00:00+05:30,873.4,892.75,851.0,879.6,122020
2024-05-03 00:00:00+05:30,890.95,892.0,858.95,868.1,84205
2024-05-06 00:00:00+05:30,873.75,879.1,851.15,862.7,61962
2024-05-07 00:00:00+05:30,862.1,918.05,856.25,877.5,1049660
2024-05-08 00:00:00+05:30,875.3,885.95,862.0,868.45,84651
2024-05-09 00:00:00+05:30,867.0,874.1,822.25,829.35,132384
2024-05-10 00:00:00+05:30,830.55,849.8,800.05,832.15,222108
2024-05-13 00:00:00+05:30,833.85,842.55,806.0,812.55,201891
2024-05-14 00:00:00+05:30,829.85,851.45,777.0,788.55,1123548
2024-05-15 00:00:00+05:30,789.0,789.0,741.05,778.9,1382994
2024-05-16 00:00:00+05:30,781.9,798.2,767.6,789.2,311006
2024-05-17 00:00:00+05:30,790.0,797.1,781.25,785.15,162676
2024-05-18 00:00:00+05:30,791.0,802.35,786.0,798.45,21250
2024-05-21 00:00:00+05:30,786.0,799.0,762.0,767.1,209910
2024-05-22 00:00:00+05:30,770.0,779.65,759.05,767.45,110404
2024-05-23 00:00:00+05:30,767.45,782.6,767.45,779.75,85589
2024-05-24 00:00:00+05:30,769.0,788.95,763.05,770.9,165265
2024-05-27 00:00:00+05:30,770.9,785.5,766.1,777.65,113573
2024-05-28 00:00:00+05:30,779.45,785.45,760.15,765.75,84822
2024-05-29 00:00:00+05:30,766.0,777.95,755.25,765.15,288493
2024-05-30 00:00:00+05:30,770.0,770.0,754.0,759.9,89888
2024-05-31 00:00:00+05:30,765.0,799.0,764.95,784.4,699286
2024-06-03 00:00:00+05:30,818.0,818.0,752.95,784.65,280914
2024-06-04 00:00:00+05:30,790.0,798.95,670.0,747.8,327289
2024-06-05 00:00:00+05:30,762.85,774.95,723.8,770.35,99979
2024-06-06 00:00:00+05:30,770.35,791.0,767.55,778.45,120070
2024-06-07 00:00:00+05:30,778.45,827.0,776.9,821.35,233425
2024-06-10 00:00:00+05:30,832.0,849.85,810.0,839.45,239973
2024-06-11 00:00:00+05:30,839.0,862.0,831.1,839.9,170727
2024-06-12 00:00:00+05:30,839.8,857.95,835.4,841.25,62123
2024-06-13 00:00:00+05:30,844.0,854.5,823.15,825.2,76681
2024-06-14 00:00:00+05:30,830.0,864.8,819.9,826.4,376544
2024-06-18 00:00:00+05:30,830.0,843.95,808.9,818.25,145098
2024-06-19 00:00:00+05:30,814.0,820.0,796.85,802.45,246927
2024-06-20 00:00:00+05:30,802.45,830.35,800.5,823.25,87303
2024-06-21 00:00:00+05:30,829.7,854.6,803.0,835.35,487169
2024-06-24 00:00:00+05:30,848.8,870.0,834.5,842.15,221720
2024-06-25 00:00:00+05:30,848.9,848.9,825.55,830.5,52473
2024-06-26 00:00:00+05:30,830.55,833.95,809.2,813.95,56675
2024-06-27 00:00:00+05:30,814.05,832.0,801.4,806.95,81814
2024-06-28 00:00:00+05:30,807.45,820.0,800.1,803.35,56614
2024-07-01 00:00:00+05:30,804.45,874.9,803.25,861.35,263497
2024-07-02 00:00:00+05:30,869.0,909.9,842.0,849.0,1064844
2024-07-03 00:00:00+05:30,850.6,862.0,846.65,857.75,85578
