date,open,high,low,close,volume
2023-12-07 00:00:00+05:30,61.55,63.25,60.65,61.7,25752912
2023-12-08 00:00:00+05:30,59.85,70.4,58.75,68.9,487219557
2023-12-11 00:00:00+05:30,71.45,74.4,69.55,73.1,165979376
2023-12-12 00:00:00+05:30,73.5,74.3,71.0,71.85,52604713
2023-12-13 00:00:00+05:30,72.1,78.1,71.85,77.15,139161372
2023-12-14 00:00:00+05:30,77.85,78.9,76.4,77.15,105827318
2023-12-15 00:00:00+05:30,77.7,78.2,76.05,77.5,49693156
2023-12-18 00:00:00+05:30,77.5,78.55,76.0,78.3,20331390
2023-12-19 00:00:00+05:30,78.35,79.5,74.65,75.7,19698623
2023-12-20 00:00:00+05:30,76.35,77.0,70.5,71.3,23442670
2023-12-21 00:00:00+05:30,70.9,74.05,69.6,73.4,20851861
2023-12-22 00:00:00+05:30,75.3,77.8,73.7,74.65,27907280
2023-12-26 00:00:00+05:30,75.05,75.6,73.65,73.95,13691736
2023-12-27 00:00:00+05:30,74.15,75.0,73.1,73.3,13530197
2023-12-28 00:00:00+05:30,73.7,77.1,72.95,76.3,44621995
2023-12-29 00:00:00+05:30,76.3,81.5,75.7,80.55,78284106
2024-01-01 00:00:00+05:30,80.9,82.3,79.85,80.35,37830090
2024-01-02 00:00:00+05:30,80.75,80.75,77.25,79.6,28625842
2024-01-03 00:00:00+05:30,79.95,83.0,78.85,81.8,36193954
2024-01-04 00:00:00+05:30,82.2,84.95,81.75,84.45,91736436
2024-01-05 00:00:00+05:30,84.8,85.25,81.9,83.9,40706295
2024-01-08 00:00:00+05:30,80.0,88.7,80.0,86.9,202570408
2024-01-09 00:00:00+05:30,87.6,88.25,84.1,84.8,48744140
2024-01-10 00:00:00+05:30,85.25,87.0,84.55,86.3,39105541
2024-01-11 00:00:00+05:30,86.6,87.25,83.3,85.3,80080582
2024-01-12 00:00:00+05:30,85.7,85.7,84.1,84.3,30674302
2024-01-15 00:00:00+05:30,84.8,85.3,82.8,83.25,22379230
2024-01-16 00:00:00+05:30,83.65,86.5,82.5,84.35,41718790
2024-01-17 00:00:00+05:30,84.35,85.7,82.7,83.4,31240324
2024-01-18 00:00:00+05:30,83.35,84.4,80.15,83.7,23950513
2024-01-19 00:00:00+05:30,83.0,84.55,81.85,82.5,38979778
2024-01-20 00:00:00+05:30,83.0,84.5,81.1,81.9,34168130
2024-01-23 00:00:00+05:30,82.5,83.0,74.25,75.5,43604317
2024-01-24 00:00:00+05:30,75.5,76.6,73.6,75.7,35773435
2024-01-25 00:00:00+05:30,76.05,79.1,75.5,77.05,56040749
2024-01-29 00:00:00+05:30,78.1,80.35,76.9,78.2,44502382
2024-01-30 00:00:00+05:30,78.85,81.7,78.15,78.8,37994594
2024-01-31 00:00:00+05:30,78.8,79.25,77.35,78.35,26944356
2024-02-01 00:00:00+05:30,76.15,79.95,76.05,79.1,39919389
2024-02-02 00:00:00+05:30,79.75,87.0,79.65,85.2,124563723
2024-02-05 00:00:00+05:30,85.7,89.75,85.5,87.35,84036591
2024-02-06 00:00:00+05:30,87.85,89.65,85.55,88.15,28893814
2024-02-07 00:00:00+05:30,88.65,91.3,88.05,90.8,63741860
2024-02-08 00:00:00+05:30,91.2,92.55,89.8,90.15,44963439
2024-02-09 00:00:00+05:30,90.3,90.55,84.2,88.85,35007959
2024-02-12 00:00:00+05:30,89.25,89.3,84.75,85.6,25142104
2024-02-13 00:00:00+05:30,89.45,91.15,85.8,89.85,85283123
2024-02-14 00:00:00+05:30,88.25,90.8,87.8,89.85,34239889
2024-02-15 00:00:00+05:30,90.6,91.7,89.1,90.35,31048461
2024-02-16 00:00:00+05:30,90.85,91.2,88.65,89.25,38111593
2024-02-19 00:00:00+05:30,89.8,92.85,87.75,92.1,51843868
2024-02-20 00:00:00+05:30,92.6,94.35,89.85,90.6,56491851
2024-02-21 00:00:00+05:30,90.9,90.9,84.55,86.25,63802448
2024-02-22 00:00:00+05:30,86.85,88.3,84.75,87.65,29169629
2024-02-23 00:00:00+05:30,88.25,89.65,87.75,88.35,25843128
2024-02-26 00:00:00+05:30,88.8,89.6,87.1,87.65,39761640
2024-02-27 00:00:00+05:30,87.9,88.4,85.4,85.75,75427795
2024-02-28 00:00:00+05:30,86.25,87.5,84.0,84.4,47472979
2024-02-29 00:00:00+05:30,84.8,85.35,82.6,84.0,341649737
2024-03-01 00:00:00+05:30,84.5,86.2,84.25,85.55,26544078
2024-03-02 00:00:00+05:30,85.7,86.75,85.5,85.8,4326231
2024-03-04 00:00:00+05:30,86.35,87.5,85.65,86.65,24955290
2024-03-05 00:00:00+05:30,86.55,87.65,86.0,86.75,16913400
2024-03-06 00:00:00+05:30,86.75,86.95,80.8,82.7,24841782
2024-03-07 00:00:00+05:30,83.15,85.15,82.65,84.5,14135199
2024-03-11 00:00:00+05:30,85.35,85.4,82.4,82.7,16717842
2024-03-12 00:00:00+05:30,82.95,83.4,80.55,80.95,19702229
2024-03-13 00:00:00+05:30,81.0,81.15,73.6,75.15,34943703
2024-03-14 00:00:00+05:30,76.35,78.6,74.5,78.05,30451300
2024-03-15 00:00:00+05:30,78.0,78.75,74.8,77.3,19455715
2024-03-18 00:00:00+05:30,77.3,78.2,76.25,77.1,9153822
2024-03-19 00:00:00+05:30,77.25,77.5,75.05,75.3,11022369
2024-03-20 00:00:00+05:30,76.0,76.3,73.0,74.65,15111132
2024-03-21 00:00:00+05:30,75.9,79.3,75.6,79.1,18986015
2024-03-22 00:00:00+05:30,79.15,79.6,78.0,78.65,9769561
2024-03-26 00:00:00+05:30,78.6,79.75,77.75,79.05,12905284
2024-03-27 00:00:00+05:30,81.4,81.4,79.4,79.8,26320881
2024-03-28 00:00:00+05:30,80.9,82.25,80.25,81.6,24357737
2024-04-01 00:00:00+05:30,82.4,84.0,82.3,83.55,14429781
2024-04-02 00:00:00+05:30,83.0,85.6,83.0,85.0,16799176
2024-04-03 00:00:00+05:30,85.25,85.4,83.8,84.05,15811657
2024-04-04 00:00:00+05:30,84.5,85.7,83.55,84.4,11970580
2024-04-05 00:00:00+05:30,84.4,86.7,83.85,85.65,33992152
2024-04-08 00:00:00+05:30,86.05,86.4,85.15,85.7,10248393
2024-04-09 00:00:00+05:30,85.95,86.5,84.45,84.8,10438396
2024-04-10 00:00:00+05:30,85.05,85.95,84.6,85.1,8040522
2024-04-12 00:00:00+05:30,85.1,85.55,83.45,83.7,15288438
2024-04-15 00:00:00+05:30,81.4,83.15,80.0,80.65,39207669
2024-04-16 00:00:00+05:30,80.5,81.1,79.4,80.5,13449634
