date,open,high,low,close,volume
2023-12-07 00:00:00+05:30,64.25,67.8,64.1,67.1,26208294
2023-12-08 00:00:00+05:30,67.25,67.6,65.7,66.0,10932869
2023-12-11 00:00:00+05:30,66.4,67.35,66.35,66.8,6665811
2023-12-12 00:00:00+05:30,67.4,67.85,66.2,66.4,9572413
2023-12-13 00:00:00+05:30,66.8,67.05,65.45,65.8,5900640
2023-12-14 00:00:00+05:30,66.5,66.9,65.95,66.05,5020762
2023-12-15 00:00:00+05:30,67.0,67.6,66.2,67.0,13205338
2023-12-18 00:00:00+05:30,67.2,71.35,66.75,70.2,45343258
2023-12-19 00:00:00+05:30,71.0,71.05,69.0,69.6,13867981
2023-12-20 00:00:00+05:30,70.0,70.5,64.05,64.85,18243199
2023-12-21 00:00:00+05:30,64.5,66.2,63.4,65.9,10456581
2023-12-22 00:00:00+05:30,66.4,67.05,65.3,65.95,6959675
2023-12-26 00:00:00+05:30,66.35,66.7,65.25,65.45,5718317
2023-12-27 00:00:00+05:30,65.95,66.85,65.6,65.95,6646699
2023-12-28 00:00:00+05:30,66.2,66.8,65.85,66.2,6213076
2023-12-29 00:00:00+05:30,66.4,68.25,66.35,67.4,10605913
2024-01-01 00:00:00+05:30,67.45,68.65,67.2,67.6,7511625
2024-01-02 00:00:00+05:30,67.7,68.4,66.5,67.3,6776439
2024-01-03 00:00:00+05:30,67.3,68.55,67.1,67.9,7686164
2024-01-04 00:00:00+05:30,68.2,70.5,68.2,69.3,18411053
2024-01-05 00:00:00+05:30,69.75,69.95,68.1,68.65,9699095
2024-01-08 00:00:00+05:30,68.75,68.9,66.8,67.25,7305146
2024-01-09 00:00:00+05:30,67.95,68.35,67.1,67.35,4338871
2024-01-10 00:00:00+05:30,67.0,67.25,66.45,66.85,4492436
2024-01-11 00:00:00+05:30,67.25,68.25,66.55,66.8,6926864
2024-01-12 00:00:00+05:30,67.05,69.45,67.05,68.75,14316792
2024-01-15 00:00:00+05:30,69.15,70.25,68.55,68.9,10222466
2024-01-16 00:00:00+05:30,68.95,72.25,68.75,70.5,34357070
2024-01-17 00:00:00+05:30,69.3,70.25,68.4,68.65,13243333
2024-01-18 00:00:00+05:30,68.45,69.95,66.65,69.3,11264394
2024-01-19 00:00:00+05:30,69.9,70.3,69.2,69.65,9495247
2024-01-20 00:00:00+05:30,70.0,80.7,69.7,79.1,133610874
2024-01-23 00:00:00+05:30,79.9,83.7,75.6,76.4,75684160
2024-01-24 00:00:00+05:30,76.8,87.0,76.3,84.2,123793708
2024-01-25 00:00:00+05:30,84.7,85.8,82.4,83.5,35505941
2024-01-29 00:00:00+05:30,84.3,88.0,83.75,84.7,42888297
2024-01-30 00:00:00+05:30,85.35,87.25,82.85,83.5,30870732
2024-01-31 00:00:00+05:30,83.95,88.0,83.65,86.6,30375502
