date,open,high,low,close,volume
2023-12-07 00:00:00+05:30,85.51,89.95,85.51,87.78,24540531
2023-12-08 00:00:00+05:30,88.72,90.69,87.29,89.55,13895283
2023-12-11 00:00:00+05:30,89.55,98.57,89.45,97.09,37683016
2023-12-12 00:00:00+05:30,98.08,101.53,94.14,98.43,17889616
2023-12-13 00:00:00+05:30,99.36,100.3,96.11,99.46,9290268
2023-12-14 00:00:00+05:30,99.51,101.73,97.09,101.14,6675847
2023-12-15 00:00:00+05:30,101.28,103.5,99.16,100.5,7599679
2023-12-18 00:00:00+05:30,99.07,100.79,97.93,99.56,5395585
2023-12-19 00:00:00+05:30,99.56,103.8,97.59,101.23,10990446
2023-12-20 00:00:00+05:30,101.58,111.34,98.38,104.09,22922753
2023-12-21 00:00:00+05:30,103.5,114.34,100.4,112.27,11125923
2023-12-22 00:00:00+05:30,112.27,117.3,107.69,111.68,12745710
2023-12-26 00:00:00+05:30,112.13,118.29,111.98,114.89,8436537
2023-12-27 00:00:00+05:30,115.33,117.75,111.88,116.66,6227189
2023-12-28 00:00:00+05:30,117.06,120.51,113.11,119.62,6136247
2023-12-29 00:00:00+05:30,119.62,123.71,116.32,123.17,9890814
2024-01-01 00:00:00+05:30,124.2,132.09,124.2,129.23,9917060
2024-01-02 00:00:00+05:30,129.13,132.09,124.6,130.02,8403201
2024-01-03 00:00:00+05:30,129.57,133.12,124.5,126.76,9346028
2024-01-04 00:00:00+05:30,127.36,128.64,124.5,127.65,6289778
2024-01-05 00:00:00+05:30,127.8,129.57,124.55,125.73,4066673
2024-01-08 00:00:00+05:30,125.43,125.68,113.16,122.13,15507701
2024-01-09 00:00:00+05:30,123.22,126.42,115.58,116.91,4984933
2024-01-10 00:00:00+05:30,117.06,118.29,106.56,112.32,13399553
2024-01-11 00:00:00+05:30,114.49,115.53,109.91,111.39,3044644
2024-01-12 00:00:00+05:30,110.89,112.87,106.06,108.43,5181279
2024-01-15 00:00:00+05:30,109.17,113.75,107.2,111.29,4723786
2024-01-16 00:00:00+05:30,111.39,113.21,106.95,108.04,2749918
2024-01-17 00:00:00+05:30,108.04,109.66,104.49,105.18,2060719
2024-01-18 00:00:00+05:30,105.18,111.63,101.04,109.61,5448127
2024-01-19 00:00:00+05:30,110.65,112.87,108.23,110.94,3552475
2024-01-20 00:00:00+05:30,110.8,110.99,107.0,107.4,1973913
2024-01-23 00:00:00+05:30,105.97,110.01,104.73,106.11,2429137
2024-01-24 00:00:00+05:30,106.26,110.5,104.73,108.28,3153786
2024-01-25 00:00:00+05:30,108.82,117.99,108.82,115.68,8315429
2024-01-29 00:00:00+05:30,116.81,121.74,116.56,120.85,5363832
2024-01-30 00:00:00+05:30,121.89,121.93,114.94,116.02,2847085
2024-01-31 00:00:00+05:30,116.07,119.77,116.02,117.79,2752057
2024-02-01 00:00:00+05:30,117.94,120.75,113.75,117.89,6673891
2024-02-02 00:00:00+05:30,118.29,128.14,118.29,125.38,12870016
2024-02-05 00:00:00+05:30,129.03,133.81,127.11,131.84,10972165
2024-02-06 00:00:00+05:30,133.32,134.75,126.91,130.31,6677779
2024-02-07 00:00:00+05:30,131.1,134.31,129.87,133.71,4568937
2024-02-08 00:00:00+05:30,140.47,142.64,133.91,136.13,9880474
2024-02-09 00:00:00+05:30,137.11,138.5,122.72,126.22,6933889
2024-02-12 00:00:00+05:30,130.86,133.57,119.52,121.24,8676939
2024-02-13 00:00:00+05:30,123.22,128.39,109.12,126.81,6692566
