date,open,high,low,close,volume
2023-12-07 00:00:00+05:30,43.05,45.3,42.5,44.1,40090151
2023-12-08 00:00:00+05:30,44.25,44.35,42.25,42.65,29344380
2023-12-11 00:00:00+05:30,42.8,44.0,42.8,43.6,21494908
2023-12-12 00:00:00+05:30,43.85,44.2,43.05,43.2,17076080
2023-12-13 00:00:00+05:30,43.45,43.45,42.8,43.05,10750162
2023-12-14 00:00:00+05:30,43.5,43.65,43.0,43.15,11598785
2023-12-15 00:00:00+05:30,43.4,45.0,43.0,44.55,44161884
2023-12-18 00:00:00+05:30,44.55,45.9,43.7,44.7,48028605
2023-12-19 00:00:00+05:30,44.7,47.5,44.7,46.65,72752969
2023-12-20 00:00:00+05:30,47.0,47.3,41.2,42.3,59408223
2023-12-21 00:00:00+05:30,41.75,44.0,40.75,43.6,39707970
2023-12-22 00:00:00+05:30,43.8,44.2,42.5,42.95,22120641
2023-12-26 00:00:00+05:30,43.2,43.35,42.75,42.9,11354779
2023-12-27 00:00:00+05:30,43.15,43.9,42.9,43.3,16351485
2023-12-28 00:00:00+05:30,43.5,44.45,43.0,43.25,24135199
2023-12-29 00:00:00+05:30,43.45,43.75,43.05,43.3,10369754
2024-01-01 00:00:00+05:30,43.25,44.3,43.15,43.6,12879177
2024-01-02 00:00:00+05:30,43.8,44.7,43.25,43.45,18828371
2024-01-03 00:00:00+05:30,43.5,44.9,43.35,43.95,28327760
2024-01-04 00:00:00+05:30,44.1,44.6,43.95,44.1,15527140
2024-01-05 00:00:00+05:30,44.35,44.7,43.5,43.9,13363697
2024-01-08 00:00:00+05:30,44.05,44.1,42.9,43.15,11071268
2024-01-09 00:00:00+05:30,43.45,43.65,42.85,43.0,7597965
2024-01-10 00:00:00+05:30,43.05,43.25,42.5,42.7,7338505
2024-01-11 00:00:00+05:30,43.0,43.5,42.8,43.0,8974590
2024-01-12 00:00:00+05:30,43.35,44.65,43.1,43.95,31730567
2024-01-15 00:00:00+05:30,44.3,45.75,44.0,44.45,31461571
2024-01-16 00:00:00+05:30,44.45,45.7,43.65,44.5,28712992
2024-01-17 00:00:00+05:30,43.85,44.45,43.1,43.6,20115305
2024-01-18 00:00:00+05:30,43.45,44.85,42.05,44.2,29406860
2024-01-19 00:00:00+05:30,44.65,44.75,43.9,44.2,17969405
2024-01-20 00:00:00+05:30,44.55,45.7,44.2,45.3,23139178
2024-01-23 00:00:00+05:30,46.0,47.1,43.4,43.7,46170655
2024-01-24 00:00:00+05:30,44.15,46.85,43.45,46.05,50123032
2024-01-25 00:00:00+05:30,46.35,47.4,45.5,45.75,34258089
2024-01-29 00:00:00+05:30,46.8,49.7,45.9,48.45,75060771
2024-01-30 00:00:00+05:30,48.95,50.2,47.6,48.25,50745728
2024-01-31 00:00:00+05:30,48.4,51.0,48.0,49.1,70933272
2024-02-01 00:00:00+05:30,49.5,52.7,48.0,52.05,121711880
2024-02-02 00:00:00+05:30,53.1,57.0,53.1,56.15,157668286
2024-02-05 00:00:00+05:30,56.6,66.1,56.0,62.65,239341270
2024-02-06 00:00:00+05:30,64.85,69.8,62.3,67.55,258421884
2024-02-07 00:00:00+05:30,68.05,81.05,68.0,79.65,379528754
2024-02-08 00:00:00+05:30,81.8,83.75,72.15,74.0,137458959
2024-02-09 00:00:00+05:30,74.6,77.5,67.7,71.1,80807393
2024-02-12 00:00:00+05:30,71.5,71.6,64.0,64.05,46344297
2024-02-13 00:00:00+05:30,63.15,66.8,60.5,65.0,56543370
2024-02-14 00:00:00+05:30,64.0,67.5,63.05,67.0,37302248
2024-02-15 00:00:00+05:30,67.35,69.6,65.55,69.15,55531337
2024-02-16 00:00:00+05:30,70.0,70.85,68.05,68.3,30799468
2024-02-19 00:00:00+05:30,68.6,72.45,67.55,70.3,33311812
2024-02-20 00:00:00+05:30,70.65,70.65,69.0,69.55,18596793
2024-02-21 00:00:00+05:30,69.75,71.2,68.0,68.55,26155059
2024-02-22 00:00:00+05:30,68.6,69.65,65.95,69.25,21351682
2024-02-23 00:00:00+05:30,69.3,69.8,67.05,67.5,15733070
2024-02-26 00:00:00+05:30,67.5,67.5,66.1,66.3,10070189
2024-02-27 00:00:00+05:30,66.25,66.7,63.8,64.5,13566526
2024-02-28 00:00:00+05:30,64.5,65.6,62.05,63.2,13361400
2024-02-29 00:00:00+05:30,63.0,65.15,62.2,64.65,16603392
2024-03-01 00:00:00+05:30,65.0,65.75,64.1,64.6,12306519
2024-03-02 00:00:00+05:30,64.8,64.9,63.8,64.4,1328600
2024-03-04 00:00:00+05:30,64.85,65.05,63.0,63.15,7824214
2024-03-05 00:00:00+05:30,63.6,69.45,62.55,69.25,52434387
2024-03-06 00:00:00+05:30,69.25,70.3,65.3,65.7,32020467
2024-03-07 00:00:00+05:30,66.15,67.65,65.7,66.05,12611496
2024-03-11 00:00:00+05:30,66.05,66.2,63.5,63.75,12392086
2024-03-12 00:00:00+05:30,63.95,63.95,61.2,61.75,11399935
2024-03-13 00:00:00+05:30,61.75,62.95,56.0,56.55,22189964
2024-03-14 00:00:00+05:30,56.5,62.05,55.05,61.05,19997056
2024-03-15 00:00:00+05:30,61.0,62.85,58.45,60.1,14183286
2024-03-18 00:00:00+05:30,60.1,61.0,58.65,59.0,8414732
2024-03-19 00:00:00+05:30,59.7,60.7,57.5,57.75,11926832
2024-03-20 00:00:00+05:30,59.6,59.6,56.75,57.25,11194066
2024-03-21 00:00:00+05:30,58.95,59.65,58.05,58.5,10879764
2024-03-22 00:00:00+05:30,58.45,60.75,58.05,59.55,11844603
2024-03-26 00:00:00+05:30,59.5,60.2,58.3,58.4,9385687
2024-03-27 00:00:00+05:30,58.8,59.2,56.55,56.9,12602710
2024-03-28 00:00:00+05:30,57.3,62.0,57.2,59.95,30823664
2024-04-01 00:00:00+05:30,60.5,65.0,60.3,64.75,26858536
2024-04-02 00:00:00+05:30,64.95,65.5,63.3,64.6,22002905
2024-04-03 00:00:00+05:30,64.5,67.1,63.8,66.8,28031613
