date,open,high,low,close,volume
2023-12-07 00:00:00+05:30,86.95,88.9,86.1,88.05,3573783
2023-12-08 00:00:00+05:30,88.9,90.1,87.0,88.0,5078616
2023-12-11 00:00:00+05:30,88.45,88.95,87.5,88.55,2028770
2023-12-12 00:00:00+05:30,89.25,89.7,87.95,88.25,3452240
2023-12-13 00:00:00+05:30,88.5,88.5,86.9,88.05,1871860
2023-12-14 00:00:00+05:30,88.8,90.0,88.5,89.1,4363101
2023-12-15 00:00:00+05:30,89.6,102.0,89.35,101.15,73319411
2023-12-18 00:00:00+05:30,101.7,104.9,99.5,102.1,29708275
2023-12-19 00:00:00+05:30,102.2,104.65,100.3,102.05,15624135
2023-12-20 00:00:00+05:30,102.6,104.3,94.05,95.25,12218592
2023-12-21 00:00:00+05:30,94.0,99.7,92.5,99.15,9275046
2023-12-22 00:00:00+05:30,99.75,100.8,95.75,97.45,6843594
2023-12-26 00:00:00+05:30,97.8,98.7,95.7,96.8,3411032
2023-12-27 00:00:00+05:30,97.1,103.25,97.05,99.95,21465660
2023-12-28 00:00:00+05:30,100.3,100.75,97.3,97.85,5664965
2023-12-29 00:00:00+05:30,98.35,99.1,97.3,98.3,3039108
2024-01-01 00:00:00+05:30,98.7,100.8,97.75,99.9,4803515
2024-01-02 00:00:00+05:30,100.0,102.3,98.9,99.9,6400056
2024-01-03 00:00:00+05:30,100.25,103.5,99.5,101.1,9384238
2024-01-04 00:00:00+05:30,101.7,103.75,101.0,102.6,6249300
2024-01-05 00:00:00+05:30,102.6,104.4,99.3,101.15,6252710
2024-01-08 00:00:00+05:30,101.15,101.3,97.0,97.95,5749196
2024-01-09 00:00:00+05:30,98.6,100.3,97.8,98.55,3138910
2024-01-10 00:00:00+05:30,98.35,99.85,97.3,98.4,3185202
2024-01-11 00:00:00+05:30,99.1,101.2,98.05,98.5,3336588
2024-01-12 00:00:00+05:30,99.2,102.9,99.05,101.25,9961708
2024-01-15 00:00:00+05:30,102.0,103.9,100.95,101.35,6063934
2024-01-16 00:00:00+05:30,101.95,110.7,101.0,107.35,53705327
2024-01-17 00:00:00+05:30,106.0,107.7,103.1,103.6,9932138
2024-01-18 00:00:00+05:30,103.25,106.25,99.1,103.15,9884198
2024-01-19 00:00:00+05:30,104.0,112.1,104.0,109.2,25544892
2024-01-20 00:00:00+05:30,109.95,113.0,109.25,110.45,8438913
2024-01-23 00:00:00+05:30,111.0,112.0,104.25,106.2,10338292
2024-01-24 00:00:00+05:30,105.55,111.65,104.1,110.15,5839590
2024-01-25 00:00:00+05:30,111.0,114.7,109.1,113.4,12565965
2024-01-29 00:00:00+05:30,114.2,114.85,111.0,111.4,4746136
2024-01-30 00:00:00+05:30,111.65,114.45,109.0,109.4,4834806
2024-01-31 00:00:00+05:30,110.1,113.85,108.75,112.0,7377181
2024-02-01 00:00:00+05:30,112.5,113.7,109.5,110.85,3484143
2024-02-02 00:00:00+05:30,111.5,114.3,110.8,111.7,4393272
2024-02-05 00:00:00+05:30,112.0,113.2,104.1,107.85,3786110
2024-02-06 00:00:00+05:30,109.0,109.3,106.1,107.4,3190663
2024-02-07 00:00:00+05:30,108.05,111.75,107.9,109.1,3672913
2024-02-08 00:00:00+05:30,109.6,109.85,107.05,107.55,2577272
2024-02-09 00:00:00+05:30,108.1,108.1,100.85,103.8,5322870
2024-02-12 00:00:00+05:30,104.4,105.75,96.35,97.85,4030887
2024-02-13 00:00:00+05:30,102.0,103.7,97.85,98.9,8673227
2024-02-14 00:00:00+05:30,97.95,104.4,97.1,103.3,7859986
2024-02-15 00:00:00+05:30,103.6,105.4,102.8,103.1,2786098
2024-02-16 00:00:00+05:30,103.75,105.9,103.1,103.5,2812065
2024-02-19 00:00:00+05:30,103.85,104.7,101.85,102.35,1692113
2024-02-20 00:00:00+05:30,102.8,103.4,100.45,100.85,1983028
2024-02-21 00:00:00+05:30,101.45,106.0,101.35,102.75,8696895
2024-02-22 00:00:00+05:30,103.15,104.5,101.1,104.05,3180984
2024-02-23 00:00:00+05:30,104.15,105.4,102.15,103.05,2720384
2024-02-26 00:00:00+05:30,103.15,106.5,100.3,101.0,4879713
2024-02-27 00:00:00+05:30,101.75,104.4,100.6,101.5,2727427
2024-02-28 00:00:00+05:30,101.95,102.7,96.25,96.85,4139492
2024-02-29 00:00:00+05:30,97.1,97.35,94.5,96.3,3418298
2024-03-01 00:00:00+05:30,96.9,100.7,96.9,99.4,3523113
2024-03-02 00:00:00+05:30,99.8,100.8,98.4,98.95,342040
2024-03-04 00:00:00+05:30,99.75,99.9,97.0,97.45,1224054
2024-03-05 00:00:00+05:30,97.45,98.15,94.6,95.45,2844794
2024-03-06 00:00:00+05:30,78.95,87.15,76.4,85.5,88801484
2024-03-07 00:00:00+05:30,86.1,88.8,84.15,87.95,25404275
2024-03-11 00:00:00+05:30,81.5,82.0,78.7,79.3,18038451
2024-03-12 00:00:00+05:30,79.4,81.5,77.4,79.25,11739043
2024-03-13 00:00:00+05:30,79.5,80.45,71.75,73.2,7627932
2024-03-14 00:00:00+05:30,73.0,78.1,71.75,76.75,4965976
2024-03-15 00:00:00+05:30,76.05,78.4,73.75,75.6,4187643
2024-03-18 00:00:00+05:30,76.0,77.45,75.0,76.9,3722135
2024-03-19 00:00:00+05:30,76.95,77.15,73.85,74.2,3044766
2024-03-20 00:00:00+05:30,75.0,75.0,71.5,72.15,4235030
2024-03-21 00:00:00+05:30,73.5,74.85,73.25,73.8,2465501
