date,open,high,low,close,volume
2023-12-07 00:00:00+05:30,126.25,132.8,126.25,129.9,10796183
2023-12-08 00:00:00+05:30,130.3,131.7,124.5,127.95,4347652
2023-12-11 00:00:00+05:30,128.25,129.0,126.05,126.65,2354633
2023-12-12 00:00:00+05:30,127.0,128.3,125.55,126.75,2503634
2023-12-13 00:00:00+05:30,127.45,128.3,126.0,126.55,1987097
2023-12-14 00:00:00+05:30,127.85,131.85,127.5,129.7,5221152
2023-12-15 00:00:00+05:30,130.7,132.4,129.15,129.6,3128877
2023-12-18 00:00:00+05:30,129.6,129.6,127.2,127.4,1681094
2023-12-19 00:00:00+05:30,129.3,134.75,129.0,131.25,7312611
2023-12-20 00:00:00+05:30,132.25,135.4,122.25,123.7,7836734
2023-12-21 00:00:00+05:30,123.0,125.15,118.8,124.25,4777635
2023-12-22 00:00:00+05:30,125.4,133.4,125.4,129.95,7379967
2023-12-26 00:00:00+05:30,130.5,131.9,128.6,129.7,2117864
2023-12-27 00:00:00+05:30,129.5,132.35,129.5,131.1,3444078
2023-12-28 00:00:00+05:30,131.2,135.95,131.0,133.2,9171079
2023-12-29 00:00:00+05:30,133.0,136.0,130.2,133.15,2930967
2024-01-01 00:00:00+05:30,133.4,134.2,132.4,132.75,1384128
2024-01-02 00:00:00+05:30,132.6,133.2,128.0,129.55,2836841
2024-01-03 00:00:00+05:30,129.65,133.5,129.1,132.75,3009841
2024-01-04 00:00:00+05:30,132.75,134.75,131.55,134.25,1880372
2024-01-05 00:00:00+05:30,134.3,137.7,133.3,134.15,3528932
2024-01-08 00:00:00+05:30,134.2,135.3,132.9,133.9,1558019
2024-01-09 00:00:00+05:30,134.15,135.7,133.5,134.0,1255731
2024-01-10 00:00:00+05:30,134.9,135.0,131.55,134.2,2068651
2024-01-11 00:00:00+05:30,134.25,161.0,134.25,160.6,60637503
2024-01-12 00:00:00+05:30,163.5,164.45,156.5,159.3,23794037
2024-01-15 00:00:00+05:30,162.3,186.0,162.25,169.3,29427230
2024-01-16 00:00:00+05:30,171.0,179.5,169.35,174.05,14606264
2024-01-17 00:00:00+05:30,171.05,176.6,168.35,171.2,6900079
2024-01-18 00:00:00+05:30,171.2,179.75,164.0,177.6,8865480
2024-01-19 00:00:00+05:30,180.0,181.4,175.55,177.0,7352246
2024-01-20 00:00:00+05:30,178.2,178.7,173.0,174.9,2109506
2024-01-23 00:00:00+05:30,169.8,178.9,160.55,170.9,12034231
2024-01-24 00:00:00+05:30,170.9,173.5,165.95,171.75,3519120
2024-01-25 00:00:00+05:30,171.65,177.55,171.25,174.4,3270472
2024-01-29 00:00:00+05:30,175.45,184.25,173.0,179.6,10262174
2024-01-30 00:00:00+05:30,181.05,184.1,176.65,179.3,4830130
2024-01-31 00:00:00+05:30,179.3,180.7,176.0,177.05,1877284
2024-02-01 00:00:00+05:30,178.4,182.35,176.0,178.65,3964871
2024-02-02 00:00:00+05:30,181.0,198.8,180.0,191.6,21839790
2024-02-05 00:00:00+05:30,193.15,206.35,192.5,197.0,14970646
2024-02-06 00:00:00+05:30,198.25,198.85,187.85,194.1,6303984
2024-02-07 00:00:00+05:30,195.4,203.7,195.4,202.6,7860261
2024-02-08 00:00:00+05:30,203.8,206.8,198.5,200.85,4596283
2024-02-09 00:00:00+05:30,200.85,202.0,176.65,189.6,7116572
2024-02-12 00:00:00+05:30,188.7,195.15,174.65,184.95,9104566
2024-02-13 00:00:00+05:30,183.95,187.7,179.0,182.7,3048091
2024-02-14 00:00:00+05:30,178.0,209.0,176.75,203.95,21364386
2024-02-15 00:00:00+05:30,205.35,244.7,203.2,244.4,65831941
2024-02-16 00:00:00+05:30,239.7,248.65,231.05,241.05,35332362
2024-02-19 00:00:00+05:30,252.0,289.25,247.8,286.1,46170497
2024-02-20 00:00:00+05:30,286.9,286.9,268.55,273.2,13275282
2024-02-21 00:00:00+05:30,276.0,285.0,248.0,252.2,14377886
2024-02-22 00:00:00+05:30,256.8,259.9,242.75,253.05,10444602
2024-02-23 00:00:00+05:30,255.8,255.8,244.2,245.85,5802449
2024-02-26 00:00:00+05:30,246.1,251.25,236.6,243.55,5913775
2024-02-27 00:00:00+05:30,244.0,247.25,234.5,235.6,3932890
2024-02-28 00:00:00+05:30,236.0,251.4,228.0,230.15,11976447
2024-02-29 00:00:00+05:30,232.0,235.65,225.65,227.8,3609539
2024-03-01 00:00:00+05:30,230.4,237.9,228.05,229.15,4075258
2024-03-02 00:00:00+05:30,230.0,234.85,228.9,233.1,609019
2024-03-04 00:00:00+05:30,234.05,234.4,226.05,229.15,3067083
2024-03-05 00:00:00+05:30,229.3,248.4,228.7,239.7,13556465
2024-03-06 00:00:00+05:30,239.85,243.7,228.25,234.6,4397666
2024-03-07 00:00:00+05:30,234.65,237.1,231.15,233.2,2873368
2024-03-11 00:00:00+05:30,233.7,234.45,217.0,218.85,3025137
2024-03-12 00:00:00+05:30,218.85,221.6,205.55,210.0,5119228
2024-03-13 00:00:00+05:30,210.0,214.2,189.0,189.0,5564331
2024-03-14 00:00:00+05:30,187.0,207.9,182.1,207.9,5621377
2024-03-15 00:00:00+05:30,207.5,218.5,196.65,215.65,8757494
2024-03-18 00:00:00+05:30,208.25,221.95,208.25,211.9,5533738
2024-03-19 00:00:00+05:30,212.85,232.2,209.05,220.0,16535076
2024-03-20 00:00:00+05:30,222.0,227.0,215.15,218.8,8298617
2024-03-21 00:00:00+05:30,221.35,226.0,216.3,217.95,4241829
2024-03-22 00:00:00+05:30,218.5,225.7,216.4,221.45,4627479
2024-03-26 00:00:00+05:30,222.5,230.4,217.8,223.75,7148180
2024-03-27 00:00:00+05:30,224.0,227.55,218.05,219.7,3949031
2024-03-28 00:00:00+05:30,219.7,222.6,216.7,218.55,2480435
2024-04-01 00:00:00+05:30,219.0,229.5,219.0,228.75,4538462
2024-04-02 00:00:00+05:30,231.2,239.9,231.0,237.8,7370309
2024-04-03 00:00:00+05:30,238.95,244.9,236.0,237.7,5978189
2024-04-04 00:00:00+05:30,239.0,239.8,232.5,234.95,2284008
2024-04-05 00:00:00+05:30,235.55,242.6,230.05,238.25,4515447
2024-04-08 00:00:00+05:30,240.3,241.35,232.35,233.15,2431771
2024-04-09 00:00:00+05:30,234.0,235.3,225.0,227.2,2256475
2024-04-10 00:00:00+05:30,227.25,229.4,222.4,223.5,2405692
2024-04-12 00:00:00+05:30,223.45,230.9,220.8,221.9,4528615
2024-04-15 00:00:00+05:30,217.8,229.8,209.1,222.9,7422162
2024-04-16 00:00:00+05:30,222.6,228.4,221.05,225.4,2884823
2024-04-18 00:00:00+05:30,225.4,233.7,221.8,223.15,3214220
2024-04-19 00:00:00+05:30,221.9,229.0,215.75,227.0,4323901
2024-04-22 00:00:00+05:30,229.0,230.0,222.35,223.2,2197288
2024-04-23 00:00:00+05:30,224.8,228.9,223.0,224.55,1921727
2024-04-24 00:00:00+05:30,226.25,253.7,225.1,248.7,39849649
2024-04-25 00:00:00+05:30,250.95,256.7,246.15,250.05,16189162
2024-04-26 00:00:00+05:30,251.1,259.2,245.65,250.95,13778089
2024-04-29 00:00:00+05:30,252.45,256.9,248.5,250.45,5756512
2024-04-30 00:00:00+05:30,251.75,259.9,248.0,250.15,7059373
2024-05-02 00:00:00+05:30,251.4,257.15,246.15,254.05,5786927
2024-05-03 00:00:00+05:30,255.35,258.6,248.0,251.5,5741569
2024-05-06 00:00:00+05:30,254.0,256.5,228.0,229.05,11818155
2024-05-07 00:00:00+05:30,231.15,233.9,214.0,214.7,8075118
2024-05-08 00:00:00+05:30,215.8,227.35,215.5,221.75,6688582
2024-05-09 00:00:00+05:30,222.0,222.65,213.15,214.45,3380710
2024-05-10 00:00:00+05:30,218.0,218.35,207.4,210.55,4939616
2024-05-13 00:00:00+05:30,210.8,210.8,199.5,205.4,5939153
2024-05-14 00:00:00+05:30,206.0,214.45,204.5,209.95,6823380
2024-05-15 00:00:00+05:30,210.6,213.65,209.65,210.45,3590719
