date,open,high,low,close,volume
2023-12-07 00:00:00+05:30,40.67,41.13,40.17,40.73,5217186
2023-12-08 00:00:00+05:30,41.0,41.43,40.5,41.27,9929288
2023-12-11 00:00:00+05:30,41.67,41.73,41.07,41.2,10465790
2023-12-12 00:00:00+05:30,41.53,42.1,40.7,40.93,8080233
2023-12-13 00:00:00+05:30,41.2,41.4,39.93,40.2,10041516
2023-12-14 00:00:00+05:30,40.53,40.73,39.97,40.2,11886894
2023-12-15 00:00:00+05:30,40.5,40.8,40.37,40.57,6929978
2023-12-18 00:00:00+05:30,40.77,41.23,40.33,41.03,9272916
2023-12-19 00:00:00+05:30,41.23,41.47,40.83,41.17,16782816
2023-12-20 00:00:00+05:30,41.33,41.77,39.6,40.07,14713762
2023-12-21 00:00:00+05:30,39.93,40.43,39.4,40.13,15182487
2023-12-22 00:00:00+05:30,40.2,41.33,40.13,40.97,8789386
2023-12-26 00:00:00+05:30,41.23,41.3,40.43,40.5,7032088
2023-12-27 00:00:00+05:30,40.63,40.97,40.0,40.67,8268105
2023-12-28 00:00:00+05:30,40.77,41.17,40.07,40.73,11199506
2023-12-29 00:00:00+05:30,40.9,42.4,40.67,41.17,22465376
2024-01-01 00:00:00+05:30,41.5,42.2,41.13,41.43,12135316
2024-01-02 00:00:00+05:30,41.53,42.03,40.8,41.03,18443430
2024-01-03 00:00:00+05:30,41.2,41.73,40.67,41.0,30471666
2024-01-04 00:00:00+05:30,41.1,41.6,41.1,41.33,7149000
2024-01-05 00:00:00+05:30,41.8,44.0,41.4,43.77,62247722
2024-01-08 00:00:00+05:30,44.37,44.5,42.93,43.1,20530251
2024-01-09 00:00:00+05:30,43.47,43.83,43.13,43.27,9976998
2024-01-10 00:00:00+05:30,43.3,43.6,42.53,42.83,9184786
2024-01-11 00:00:00+05:30,43.93,43.93,42.27,42.4,14061396
2024-01-12 00:00:00+05:30,42.63,42.97,41.87,42.07,9757488
2024-01-15 00:00:00+05:30,42.33,42.67,42.1,42.37,6962892
2024-01-16 00:00:00+05:30,42.67,42.77,41.4,41.93,6033324
2024-01-17 00:00:00+05:30,41.67,42.0,41.03,41.27,9193864
2024-01-18 00:00:00+05:30,41.03,41.5,40.3,41.03,9946036
2024-01-19 00:00:00+05:30,41.33,41.77,40.8,41.07,8685046
2024-01-20 00:00:00+05:30,41.07,41.8,40.9,41.73,3639525
2024-01-23 00:00:00+05:30,41.87,42.0,40.87,40.97,8096982
2024-01-24 00:00:00+05:30,40.93,41.23,40.23,41.13,5206584
2024-01-25 00:00:00+05:30,41.13,41.8,40.17,40.63,9548824
2024-01-29 00:00:00+05:30,41.0,41.3,40.9,41.13,7193271
2024-01-30 00:00:00+05:30,41.43,43.67,41.33,42.33,26929200
2024-01-31 00:00:00+05:30,43.0,43.83,42.23,43.37,25933131
2024-02-01 00:00:00+05:30,44.23,47.63,44.17,46.63,97582934
2024-02-02 00:00:00+05:30,47.43,48.13,46.0,46.27,34402702
2024-02-05 00:00:00+05:30,46.53,49.23,46.2,47.3,40382190
2024-02-06 00:00:00+05:30,48.33,49.87,47.8,48.6,34964920
2024-02-07 00:00:00+05:30,48.87,49.23,46.8,47.0,17776971
2024-02-08 00:00:00+05:30,47.97,48.47,46.57,47.83,25931380
2024-02-09 00:00:00+05:30,48.0,48.07,45.23,45.97,18902368
2024-02-12 00:00:00+05:30,46.23,46.57,44.0,44.37,12075450
2024-02-13 00:00:00+05:30,44.37,46.27,43.07,45.0,15813261
2024-02-14 00:00:00+05:30,44.97,46.63,44.23,46.53,15937672
2024-02-15 00:00:00+05:30,46.9,47.33,46.13,47.07,11119137
2024-02-16 00:00:00+05:30,46.73,49.87,46.73,48.23,32003583
2024-02-19 00:00:00+05:30,48.53,49.17,48.4,48.73,8820108
2024-02-20 00:00:00+05:30,48.83,48.87,47.53,47.83,7709630
2024-02-21 00:00:00+05:30,48.0,48.1,46.47,46.63,8032628
2024-02-22 00:00:00+05:30,46.73,47.6,45.9,47.47,8130750
2024-02-23 00:00:00+05:30,47.7,47.7,46.67,46.83,6514232
2024-02-26 00:00:00+05:30,47.33,48.57,47.03,48.3,12577842
2024-02-27 00:00:00+05:30,48.67,49.13,47.67,48.0,12687204
