date,open,high,low,close,volume
2023-12-07 00:00:00+05:30,214.65,216.0,209.8,211.05,4246490
2023-12-08 00:00:00+05:30,212.45,216.55,210.6,213.25,3340618
2023-12-11 00:00:00+05:30,214.65,215.85,211.05,212.5,1707288
2023-12-12 00:00:00+05:30,213.15,214.0,207.95,208.45,2457795
2023-12-13 00:00:00+05:30,208.0,210.65,205.8,206.75,2434053
2023-12-14 00:00:00+05:30,209.5,218.65,208.25,216.25,9553702
2023-12-15 00:00:00+05:30,216.7,220.35,213.15,215.55,4209348
2023-12-18 00:00:00+05:30,215.3,218.65,213.15,214.65,2298172
2023-12-19 00:00:00+05:30,219.35,231.4,217.35,227.6,12797466
2023-12-20 00:00:00+05:30,233.35,270.95,229.85,240.4,62163130
2023-12-21 00:00:00+05:30,242.0,259.75,242.0,250.9,37548838
2023-12-22 00:00:00+05:30,255.65,255.95,243.4,248.85,10705210
2023-12-26 00:00:00+05:30,251.25,262.6,246.45,254.45,12721008
2023-12-27 00:00:00+05:30,257.4,260.65,252.0,254.85,7485570
2023-12-28 00:00:00+05:30,256.35,259.35,249.55,255.15,8024391
2023-12-29 00:00:00+05:30,255.35,255.4,246.65,248.1,6729648
2024-01-01 00:00:00+05:30,249.0,255.05,247.55,252.5,3661496
2024-01-02 00:00:00+05:30,250.65,259.35,249.5,255.55,6698120
2024-01-03 00:00:00+05:30,255.75,261.25,251.55,257.15,4706931
2024-01-04 00:00:00+05:30,259.6,259.6,254.35,255.15,2828086
2024-01-05 00:00:00+05:30,256.6,257.7,251.15,253.6,3208988
2024-01-08 00:00:00+05:30,253.3,254.65,248.55,249.45,2865747
2024-01-09 00:00:00+05:30,252.0,254.3,249.0,249.45,2710638
2024-01-10 00:00:00+05:30,250.65,250.65,242.2,243.2,4362405
2024-01-11 00:00:00+05:30,244.65,250.45,241.6,249.15,7377632
2024-01-12 00:00:00+05:30,248.15,251.1,246.15,250.0,7441359
2024-01-15 00:00:00+05:30,252.0,265.45,251.6,264.35,12887074
2024-01-16 00:00:00+05:30,267.3,268.55,257.05,259.55,7527022
2024-01-17 00:00:00+05:30,256.65,256.65,252.65,254.25,3668559
2024-01-18 00:00:00+05:30,252.25,271.2,251.0,263.65,13669572
2024-01-19 00:00:00+05:30,267.15,279.85,265.35,274.85,14235444
2024-01-20 00:00:00+05:30,277.6,287.2,275.6,280.15,6951182
2024-01-23 00:00:00+05:30,281.35,281.45,261.35,264.15,6585585
2024-01-24 00:00:00+05:30,265.6,271.0,262.35,267.8,3091436
2024-01-25 00:00:00+05:30,270.65,271.35,266.75,268.75,1546594
2024-01-29 00:00:00+05:30,272.0,280.65,269.55,275.75,5919964
2024-01-30 00:00:00+05:30,278.8,295.55,277.65,286.05,14435830
2024-01-31 00:00:00+05:30,289.25,289.25,279.05,284.35,5269130
2024-02-01 00:00:00+05:30,285.25,292.65,282.05,290.9,4610217
2024-02-02 00:00:00+05:30,291.35,299.85,288.75,297.95,9224964
2024-02-05 00:00:00+05:30,297.65,309.45,293.35,306.35,9466552
2024-02-06 00:00:00+05:30,308.0,344.25,297.35,320.65,25406702
2024-02-07 00:00:00+05:30,323.2,331.15,315.35,325.05,9954616
2024-02-08 00:00:00+05:30,326.4,346.65,322.5,342.1,14212656
2024-02-09 00:00:00+05:30,345.35,349.6,334.7,344.1,9378834
2024-02-12 00:00:00+05:30,346.55,346.55,304.35,312.6,8691124
2024-02-13 00:00:00+05:30,312.65,317.55,295.7,313.25,8704672
2024-02-14 00:00:00+05:30,313.35,336.55,305.75,332.5,16876046
2024-02-15 00:00:00+05:30,337.9,383.6,335.35,375.45,42022868
2024-02-16 00:00:00+05:30,378.55,411.35,370.65,382.45,29453876
2024-02-19 00:00:00+05:30,384.0,406.65,382.8,396.15,14973933
2024-02-20 00:00:00+05:30,397.9,420.0,382.65,403.15,19496004
2024-02-21 00:00:00+05:30,405.95,416.0,385.45,390.15,13007422
2024-02-22 00:00:00+05:30,394.65,406.45,381.9,399.0,14215017
2024-02-23 00:00:00+05:30,402.65,402.85,391.35,394.4,6027860
2024-02-26 00:00:00+05:30,391.55,395.95,375.55,380.0,6269762
2024-02-27 00:00:00+05:30,382.65,389.2,375.05,382.85,9126498
2024-02-28 00:00:00+05:30,386.45,390.65,374.15,378.1,6455438
2024-02-29 00:00:00+05:30,380.65,380.8,362.65,364.35,7681070
2024-03-01 00:00:00+05:30,369.55,395.95,368.6,392.75,16145448
2024-03-02 00:00:00+05:30,396.75,399.15,390.9,395.15,658690
2024-03-04 00:00:00+05:30,396.0,426.15,395.95,416.6,24780336
2024-03-05 00:00:00+05:30,419.25,425.8,412.0,421.0,9599258
2024-03-06 00:00:00+05:30,422.65,431.35,412.0,422.55,9751120
2024-03-07 00:00:00+05:30,424.0,429.05,418.25,420.05,6128920
2024-03-11 00:00:00+05:30,421.95,428.65,407.0,410.25,7452646
2024-03-12 00:00:00+05:30,414.35,418.15,402.0,408.45,7114618
2024-03-13 00:00:00+05:30,412.45,412.9,375.45,382.55,8455125
2024-03-14 00:00:00+05:30,382.55,393.65,374.65,382.1,6103764
2024-03-15 00:00:00+05:30,386.35,392.45,342.0,370.45,25914057
2024-03-18 00:00:00+05:30,365.65,369.35,356.2,363.45,4199798
2024-03-19 00:00:00+05:30,363.35,372.75,355.55,363.8,8245040
2024-03-20 00:00:00+05:30,370.0,380.0,363.2,376.8,5345346
2024-03-21 00:00:00+05:30,379.3,397.75,379.0,393.95,5951128
2024-03-22 00:00:00+05:30,394.75,397.3,385.85,387.85,4846110
2024-03-26 00:00:00+05:30,389.6,410.45,385.85,407.65,8318840
2024-03-27 00:00:00+05:30,407.95,419.85,394.7,399.2,8831590
2024-03-28 00:00:00+05:30,402.65,407.35,394.8,400.15,5168940
2024-04-01 00:00:00+05:30,404.2,405.65,388.35,394.0,6410716
2024-04-02 00:00:00+05:30,396.65,423.35,393.45,420.05,10512812
2024-04-03 00:00:00+05:30,420.05,446.35,416.75,423.75,20134173
2024-04-04 00:00:00+05:30,426.0,427.75,408.9,414.5,8523888
