date,open,high,low,close,volume
2023-12-07 00:00:00+05:30,728.85,728.85,650.45,661.35,36830243
2023-12-08 00:00:00+05:30,669.7,679.85,637.0,651.25,15279182
2023-12-11 00:00:00+05:30,664.9,667.0,651.2,656.65,5245093
2023-12-12 00:00:00+05:30,655.0,658.0,614.8,616.55,15726788
2023-12-13 00:00:00+05:30,616.55,616.75,592.7,600.0,14813146
2023-12-14 00:00:00+05:30,605.0,616.4,603.2,606.15,7805126
2023-12-15 00:00:00+05:30,600.0,609.45,599.05,606.1,5549270
2023-12-18 00:00:00+05:30,610.0,624.0,607.0,615.8,9516903
2023-12-19 00:00:00+05:30,623.95,626.0,618.3,622.7,4880996
2023-12-20 00:00:00+05:30,627.9,635.95,610.0,615.15,14409676
2023-12-21 00:00:00+05:30,615.0,641.05,606.05,638.5,7428551
2023-12-22 00:00:00+05:30,646.0,650.6,635.1,642.2,5075390
2023-12-26 00:00:00+05:30,643.9,644.9,630.0,631.8,3785953
2023-12-27 00:00:00+05:30,635.0,641.95,630.15,634.85,2095270
2023-12-28 00:00:00+05:30,639.0,640.5,631.15,634.05,1809403
2023-12-29 00:00:00+05:30,634.1,643.0,631.35,635.45,2488030
2024-01-01 00:00:00+05:30,637.0,648.85,636.65,646.1,3043220
2024-01-02 00:00:00+05:30,648.0,654.0,641.1,651.1,3129266
2024-01-03 00:00:00+05:30,654.0,678.75,648.35,673.7,8321160
2024-01-04 00:00:00+05:30,675.5,677.0,664.25,668.7,3098366
2024-01-05 00:00:00+05:30,674.7,688.0,672.0,685.15,5866520
2024-01-08 00:00:00+05:30,687.0,702.95,684.2,690.55,5801579
2024-01-09 00:00:00+05:30,697.0,699.7,676.2,685.7,3520802
2024-01-10 00:00:00+05:30,688.0,693.85,681.5,685.15,2210109
2024-01-11 00:00:00+05:30,690.0,691.65,678.95,684.85,1810884
2024-01-12 00:00:00+05:30,686.0,696.0,684.4,692.45,2490143
2024-01-15 00:00:00+05:30,695.0,717.25,683.45,714.2,5295483
2024-01-16 00:00:00+05:30,720.0,750.0,719.2,747.35,10245974
2024-01-17 00:00:00+05:30,742.0,769.95,731.4,736.25,6597524
2024-01-18 00:00:00+05:30,736.0,759.6,721.55,754.3,5994981
2024-01-19 00:00:00+05:30,760.5,789.0,758.0,773.6,7874584
2024-01-20 00:00:00+05:30,789.0,798.0,778.0,785.3,4613498
2024-01-23 00:00:00+05:30,793.0,793.0,736.6,755.9,8164301
2024-01-24 00:00:00+05:30,754.0,759.8,744.4,753.75,4201784
2024-01-25 00:00:00+05:30,756.0,767.7,755.15,763.05,2297563
2024-01-29 00:00:00+05:30,763.95,768.9,747.05,752.05,3108252
2024-01-30 00:00:00+05:30,753.0,767.0,753.0,761.1,3415910
2024-01-31 00:00:00+05:30,758.15,774.3,753.1,761.2,2932281
2024-02-01 00:00:00+05:30,609.0,609.0,609.0,609.0,1319654
2024-02-02 00:00:00+05:30,487.2,487.2,487.2,487.2,8816560
2024-02-05 00:00:00+05:30,438.5,438.5,438.5,438.5,7385809
2024-02-06 00:00:00+05:30,395.0,473.55,395.0,451.15,63835202
2024-02-07 00:00:00+05:30,463.0,496.25,462.0,496.25,20273368
2024-02-08 00:00:00+05:30,525.0,528.0,446.65,446.65,21240680
2024-02-09 00:00:00+05:30,420.0,438.0,410.0,419.85,14918098
2024-02-12 00:00:00+05:30,430.05,435.5,411.2,422.2,10958969
2024-02-13 00:00:00+05:30,403.0,408.0,380.0,380.15,11455765
2024-02-14 00:00:00+05:30,355.0,360.15,342.15,342.15,15657904
2024-02-15 00:00:00+05:30,326.7,338.45,325.05,325.05,10324976
2024-02-16 00:00:00+05:30,325.0,341.3,318.05,341.3,19113793
2024-02-19 00:00:00+05:30,358.35,358.35,358.35,358.35,1205875
2024-02-20 00:00:00+05:30,376.25,376.25,376.25,376.25,1009337
2024-02-21 00:00:00+05:30,395.05,395.05,395.05,395.05,1021399
2024-02-22 00:00:00+05:30,400.0,402.95,380.6,388.35,21147933
