date,open,high,low,close,volume
2023-12-07 00:00:00+05:30,80.2,83.75,78.5,81.75,12357832
2023-12-08 00:00:00+05:30,81.4,82.4,77.5,78.55,9824609
2023-12-11 00:00:00+05:30,79.0,81.8,78.9,80.85,9176336
2023-12-12 00:00:00+05:30,81.65,83.0,79.05,79.6,7769707
2023-12-13 00:00:00+05:30,79.95,82.0,78.8,81.4,7864553
2023-12-14 00:00:00+05:30,81.65,81.85,79.85,80.1,5586299
2023-12-15 00:00:00+05:30,80.55,85.6,79.45,81.85,15922460
2023-12-18 00:00:00+05:30,82.55,86.0,81.4,83.75,16650197
2023-12-19 00:00:00+05:30,84.15,85.2,82.15,83.25,9378803
2023-12-20 00:00:00+05:30,84.0,85.3,72.0,75.1,14482380
2023-12-21 00:00:00+05:30,74.2,79.85,73.75,78.9,16407213
2023-12-22 00:00:00+05:30,79.5,80.5,77.4,78.95,6292659
2023-12-26 00:00:00+05:30,79.2,79.45,76.2,77.15,4336775
2023-12-27 00:00:00+05:30,77.3,78.2,75.5,76.2,4836870
2023-12-28 00:00:00+05:30,76.5,77.3,75.1,75.5,3938984
2023-12-29 00:00:00+05:30,75.8,77.1,74.85,76.25,4698594
2024-01-01 00:00:00+05:30,76.5,77.8,76.0,76.45,3827836
2024-01-02 00:00:00+05:30,76.85,77.4,74.85,76.05,3414673
2024-01-03 00:00:00+05:30,76.6,79.4,75.5,75.9,8501455
2024-01-04 00:00:00+05:30,76.3,82.4,75.7,81.6,16544967
2024-01-05 00:00:00+05:30,81.9,88.0,80.8,86.0,26741331
2024-01-08 00:00:00+05:30,86.4,87.4,83.8,85.7,14043918
2024-01-09 00:00:00+05:30,86.0,87.7,82.0,82.65,9424670
2024-01-10 00:00:00+05:30,82.75,83.95,81.0,81.55,7334391
2024-01-11 00:00:00+05:30,81.95,86.5,81.7,85.35,14916258
2024-01-12 00:00:00+05:30,85.7,86.9,83.75,84.2,5081539
2024-01-15 00:00:00+05:30,84.55,84.7,82.0,83.0,4013109
2024-01-16 00:00:00+05:30,83.4,83.7,79.55,81.6,4490464
2024-01-17 00:00:00+05:30,80.0,81.45,78.6,80.45,3527939
2024-01-18 00:00:00+05:30,79.9,80.7,76.15,79.75,5219272
2024-01-19 00:00:00+05:30,80.15,81.85,79.7,80.35,3423032
2024-01-20 00:00:00+05:30,80.75,84.5,79.55,81.75,5861327
2024-01-23 00:00:00+05:30,82.45,82.85,78.5,79.4,5616015
2024-01-24 00:00:00+05:30,79.3,82.85,77.75,82.15,5322689
2024-01-25 00:00:00+05:30,82.15,82.6,80.1,80.65,2913441
2024-01-29 00:00:00+05:30,81.35,86.35,80.95,84.25,17131563
2024-01-30 00:00:00+05:30,84.85,94.15,83.8,87.85,63936950
2024-01-31 00:00:00+05:30,88.0,90.25,86.15,88.15,15334236
2024-02-01 00:00:00+05:30,88.5,88.5,85.2,86.6,7093327
2024-02-02 00:00:00+05:30,87.05,92.45,86.75,88.6,17796967
2024-02-05 00:00:00+05:30,89.3,92.65,87.0,87.5,10419885
2024-02-06 00:00:00+05:30,87.95,89.7,87.1,88.35,5111563
2024-02-07 00:00:00+05:30,89.0,90.95,87.4,89.05,9395788
2024-02-08 00:00:00+05:30,89.6,94.85,87.7,90.35,23977265
2024-02-09 00:00:00+05:30,92.0,93.7,84.35,87.25,13439430
2024-02-12 00:00:00+05:30,88.0,88.4,75.5,78.35,10129947
2024-02-13 00:00:00+05:30,78.5,82.5,76.1,82.15,8120083
2024-02-14 00:00:00+05:30,81.45,85.0,80.2,84.45,5137008
2024-02-15 00:00:00+05:30,84.5,86.75,83.05,84.25,4334839
2024-02-16 00:00:00+05:30,85.05,88.3,85.05,85.65,5815820
2024-02-19 00:00:00+05:30,86.05,87.5,85.0,85.4,5043075
2024-02-20 00:00:00+05:30,85.8,85.8,83.0,83.2,2953110
2024-02-21 00:00:00+05:30,83.7,84.5,80.75,81.4,3685743
2024-02-22 00:00:00+05:30,81.55,85.15,79.5,84.5,6236759
2024-02-23 00:00:00+05:30,84.85,85.0,83.0,84.0,2423149
2024-02-26 00:00:00+05:30,84.2,84.45,81.3,82.0,2390796
2024-02-27 00:00:00+05:30,82.15,82.65,80.05,80.65,2600613
2024-02-28 00:00:00+05:30,80.7,81.3,77.55,78.7,4002308
2024-02-29 00:00:00+05:30,78.1,85.45,77.3,83.6,7113183
2024-03-01 00:00:00+05:30,83.75,84.7,82.15,82.75,1976804
2024-03-02 00:00:00+05:30,82.6,83.15,82.05,82.75,332980
2024-03-04 00:00:00+05:30,82.75,83.5,81.0,81.55,3842559
2024-03-05 00:00:00+05:30,81.75,81.75,80.0,80.35,3480007
2024-03-06 00:00:00+05:30,79.95,80.4,77.1,78.15,4871496
2024-03-07 00:00:00+05:30,78.4,79.8,78.1,78.45,1748117
2024-03-11 00:00:00+05:30,78.75,78.75,75.0,75.45,2966158
2024-03-12 00:00:00+05:30,75.5,76.25,70.95,71.65,4871927
2024-03-13 00:00:00+05:30,71.0,73.2,63.5,65.4,7691354
2024-03-14 00:00:00+05:30,65.55,73.15,65.35,72.3,8258543
2024-03-15 00:00:00+05:30,72.0,73.5,69.45,70.75,3037335
2024-03-18 00:00:00+05:30,70.05,72.1,68.8,69.55,2696806
2024-03-19 00:00:00+05:30,69.8,71.15,67.6,67.9,2840152
2024-03-20 00:00:00+05:30,68.35,69.25,66.5,66.95,2606234
2024-03-21 00:00:00+05:30,67.95,70.35,67.95,69.4,2278928
2024-03-22 00:00:00+05:30,69.2,72.6,68.3,70.85,8882263
2024-03-26 00:00:00+05:30,71.05,71.95,68.1,68.5,3962683
2024-03-27 00:00:00+05:30,69.2,71.45,68.7,69.85,4286512
2024-03-28 00:00:00+05:30,70.25,72.55,68.9,69.2,3909655
2024-04-01 00:00:00+05:30,70.45,77.0,70.3,76.2,7473663
2024-04-02 00:00:00+05:30,76.2,77.4,74.75,76.65,4327505
2024-04-03 00:00:00+05:30,76.65,78.1,75.5,77.65,4160838
2024-04-04 00:00:00+05:30,78.0,79.25,76.35,77.4,3267698
2024-04-05 00:00:00+05:30,77.3,78.1,76.15,76.55,2697623
2024-04-08 00:00:00+05:30,76.9,77.8,75.5,76.2,1972477
2024-04-09 00:00:00+05:30,76.35,76.9,74.15,74.9,2721977
2024-04-10 00:00:00+05:30,75.05,75.5,74.1,74.2,1472790
2024-04-12 00:00:00+05:30,74.1,75.1,72.0,72.2,2806551
2024-04-15 00:00:00+05:30,67.0,70.9,67.0,69.7,3696402
2024-04-16 00:00:00+05:30,68.1,72.2,68.05,70.85,2919123
2024-04-18 00:00:00+05:30,71.2,76.2,71.2,72.75,6890523
2024-04-19 00:00:00+05:30,71.0,72.25,70.05,71.2,2274781
2024-04-22 00:00:00+05:30,72.0,74.0,72.0,72.65,1382997
2024-04-23 00:00:00+05:30,73.05,76.35,72.65,74.35,4963577
2024-04-24 00:00:00+05:30,74.7,76.5,74.2,75.35,2185526
2024-04-25 00:00:00+05:30,75.35,76.9,74.2,74.9,2618749
2024-04-26 00:00:00+05:30,75.0,75.6,74.45,75.1,1372630
2024-04-29 00:00:00+05:30,75.55,77.7,75.3,76.05,3569001
2024-04-30 00:00:00+05:30,76.25,76.75,74.5,74.75,3094898
2024-05-02 00:00:00+05:30,74.75,75.5,73.45,73.75,3808774
2024-05-03 00:00:00+05:30,74.2,74.95,72.25,74.3,4278894
2024-05-06 00:00:00+05:30,74.5,74.8,71.5,72.5,3165248
