date,open,high,low,close,volume
2023-12-07 00:00:00+05:30,517.9,519.0,506.0,513.1,1064409
2023-12-08 00:00:00+05:30,519.0,525.95,502.35,514.95,1468324
2023-12-11 00:00:00+05:30,519.9,534.7,515.85,525.4,1514719
2023-12-12 00:00:00+05:30,526.75,528.2,510.1,513.6,676078
2023-12-13 00:00:00+05:30,515.0,518.95,507.7,514.6,356852
2023-12-14 00:00:00+05:30,516.15,528.0,512.55,519.5,710411
2023-12-15 00:00:00+05:30,519.9,523.45,510.0,513.1,743941
2023-12-18 00:00:00+05:30,516.0,542.0,512.5,536.8,1744018
2023-12-19 00:00:00+05:30,541.95,544.9,534.0,539.55,953937
2023-12-20 00:00:00+05:30,544.8,548.45,517.55,521.1,1695493
2023-12-21 00:00:00+05:30,515.0,573.2,507.25,571.9,4820038
2023-12-22 00:00:00+05:30,590.0,612.0,577.0,608.4,6107450
2023-12-26 00:00:00+05:30,615.0,627.6,610.0,619.1,2575003
2023-12-27 00:00:00+05:30,624.8,626.0,610.1,623.35,1294800
2023-12-28 00:00:00+05:30,625.0,633.7,621.95,625.9,1394765
2023-12-29 00:00:00+05:30,627.0,630.0,613.55,627.8,2101797
2024-01-01 00:00:00+05:30,636.0,646.6,628.35,641.9,2400493
2024-01-02 00:00:00+05:30,648.0,654.0,635.1,643.0,2557701
2024-01-03 00:00:00+05:30,635.5,677.0,632.55,668.7,2861553
2024-01-04 00:00:00+05:30,670.0,682.0,651.55,655.15,1956706
2024-01-05 00:00:00+05:30,656.0,668.0,645.0,653.75,1053483
2024-01-08 00:00:00+05:30,650.0,653.35,628.0,629.85,1676042
2024-01-09 00:00:00+05:30,640.0,643.0,625.65,637.85,1456087
2024-01-10 00:00:00+05:30,620.2,672.0,620.2,666.5,7393963
2024-01-11 00:00:00+05:30,678.0,683.4,667.0,670.4,3575155
2024-01-12 00:00:00+05:30,672.85,689.0,665.0,683.2,1473586
2024-01-15 00:00:00+05:30,691.0,692.7,669.95,681.25,1563493
2024-01-16 00:00:00+05:30,675.0,683.8,650.7,671.55,1466524
2024-01-17 00:00:00+05:30,660.5,665.4,646.3,650.35,1343951
2024-01-18 00:00:00+05:30,651.1,663.0,637.0,656.75,1074243
2024-01-19 00:00:00+05:30,661.3,682.4,654.0,677.25,1362418
2024-01-20 00:00:00+05:30,680.0,703.5,672.95,696.75,1831503
2024-01-23 00:00:00+05:30,700.0,708.8,660.1,671.8,1529512
2024-01-24 00:00:00+05:30,672.9,678.7,655.6,676.0,720334
2024-01-25 00:00:00+05:30,676.0,683.35,672.0,677.15,353649
2024-01-29 00:00:00+05:30,680.05,716.95,679.5,711.2,2020717
2024-01-30 00:00:00+05:30,722.0,734.9,715.5,731.0,2612634
2024-01-31 00:00:00+05:30,737.8,737.8,690.0,704.8,2625792
2024-02-01 00:00:00+05:30,705.9,720.45,695.0,702.25,1195893
2024-02-02 00:00:00+05:30,705.45,720.0,698.05,705.35,1304936
2024-02-05 00:00:00+05:30,710.0,719.9,675.15,684.75,929349
2024-02-06 00:00:00+05:30,685.45,704.65,681.45,697.3,550683
2024-02-07 00:00:00+05:30,704.5,710.85,690.0,692.2,452758
2024-02-08 00:00:00+05:30,695.9,700.4,685.0,687.6,627460
2024-02-09 00:00:00+05:30,685.0,689.8,651.65,682.05,1054114
2024-02-12 00:00:00+05:30,682.05,702.85,650.15,657.7,854405
2024-02-13 00:00:00+05:30,664.55,667.0,643.65,659.1,637688
2024-02-14 00:00:00+05:30,649.0,676.7,644.8,670.75,528411
2024-02-15 00:00:00+05:30,674.9,684.0,664.35,668.95,375653
2024-02-16 00:00:00+05:30,670.8,680.0,666.25,671.4,276016
2024-02-19 00:00:00+05:30,673.9,678.95,661.5,668.95,342836
2024-02-20 00:00:00+05:30,671.0,672.0,659.7,662.95,308942
2024-02-21 00:00:00+05:30,663.0,674.0,640.7,643.55,663338
2024-02-22 00:00:00+05:30,651.05,651.7,630.15,647.05,538118
2024-02-23 00:00:00+05:30,649.45,670.55,643.55,664.6,675797
2024-02-26 00:00:00+05:30,665.15,671.9,653.6,656.55,399838
2024-02-27 00:00:00+05:30,653.15,662.95,646.65,648.5,340307
2024-02-28 00:00:00+05:30,650.6,653.3,624.0,627.3,413154
2024-02-29 00:00:00+05:30,624.5,658.6,622.0,649.9,1363833
2024-03-01 00:00:00+05:30,656.0,682.9,634.3,671.5,2498858
2024-03-02 00:00:00+05:30,674.0,692.7,670.0,688.5,358876
2024-03-04 00:00:00+05:30,687.0,688.5,662.0,663.85,527510
2024-03-05 00:00:00+05:30,660.0,667.05,647.8,654.35,936834
2024-03-06 00:00:00+05:30,650.1,653.4,622.55,629.5,923041
2024-03-07 00:00:00+05:30,632.05,646.0,630.5,640.2,429643
2024-03-11 00:00:00+05:30,640.2,642.15,590.25,596.85,1452486
2024-03-12 00:00:00+05:30,596.85,608.0,584.05,587.55,1144829
2024-03-13 00:00:00+05:30,592.5,592.8,511.2,544.3,1965752
2024-03-14 00:00:00+05:30,541.0,566.0,530.95,547.35,1168295
2024-03-15 00:00:00+05:30,544.75,570.0,542.05,563.45,1061534
2024-03-18 00:00:00+05:30,560.2,583.15,560.2,579.35,1479163
2024-03-19 00:00:00+05:30,579.0,583.3,566.55,574.0,521625
2024-03-20 00:00:00+05:30,572.2,582.1,564.1,572.35,937869
2024-03-21 00:00:00+05:30,571.35,600.0,571.35,589.25,1273409
2024-03-22 00:00:00+05:30,594.4,609.0,580.7,599.3,1089672
2024-03-26 00:00:00+05:30,606.4,607.0,597.75,599.85,481294
2024-03-27 00:00:00+05:30,612.0,624.0,601.85,605.35,1281009
2024-03-28 00:00:00+05:30,611.9,612.65,583.85,591.35,566910
2024-04-01 00:00:00+05:30,596.7,628.0,596.65,623.15,613359
2024-04-02 00:00:00+05:30,623.0,629.5,615.95,622.8,278456
2024-04-03 00:00:00+05:30,620.95,632.9,609.7,612.5,550996
2024-04-04 00:00:00+05:30,619.4,621.1,608.25,617.3,390973
2024-04-05 00:00:00+05:30,617.3,629.8,609.65,620.05,455868
2024-04-08 00:00:00+05:30,625.05,633.6,615.0,618.3,423512
