date,open,high,low,close,volume
2023-12-07 00:00:00+05:30,405.0,407.65,391.1,407.4,5318874
2023-12-08 00:00:00+05:30,414.0,414.0,390.0,403.05,3115153
2023-12-11 00:00:00+05:30,404.0,423.2,404.0,423.2,1967571
2023-12-12 00:00:00+05:30,433.95,444.35,407.5,429.1,5627459
2023-12-13 00:00:00+05:30,429.1,445.15,420.0,424.4,1875927
2023-12-14 00:00:00+05:30,430.1,434.95,418.25,424.1,1090089
2023-12-15 00:00:00+05:30,445.3,445.3,409.2,411.85,6713119
2023-12-18 00:00:00+05:30,432.0,432.4,427.3,432.4,736870
2023-12-19 00:00:00+05:30,444.4,454.0,441.05,443.05,4981206
2023-12-20 00:00:00+05:30,448.5,452.25,420.9,422.5,1802987
2023-12-21 00:00:00+05:30,414.0,429.0,408.35,423.35,1200387
2023-12-22 00:00:00+05:30,428.15,444.45,424.35,440.15,1273716
2023-12-26 00:00:00+05:30,444.0,444.15,436.35,439.2,950678
2023-12-27 00:00:00+05:30,440.0,444.0,423.6,428.9,1261456
2023-12-28 00:00:00+05:30,433.1,439.7,428.0,434.1,1628771
2023-12-29 00:00:00+05:30,437.9,439.9,426.3,432.35,1427810
2024-01-01 00:00:00+05:30,439.0,453.95,436.8,445.5,2852672
2024-01-02 00:00:00+05:30,449.1,452.0,434.0,441.9,1455721
2024-01-03 00:00:00+05:30,445.15,461.0,445.15,448.8,2683355
2024-01-04 00:00:00+05:30,452.0,455.8,441.25,445.2,1047368
2024-01-05 00:00:00+05:30,447.7,450.0,443.0,448.1,879774
2024-01-08 00:00:00+05:30,449.75,454.7,442.0,444.8,1498086
2024-01-09 00:00:00+05:30,447.95,457.0,443.0,447.65,1485751
2024-01-10 00:00:00+05:30,449.0,454.0,435.6,447.4,1563919
2024-01-11 00:00:00+05:30,452.0,469.75,451.7,469.0,5040522
2024-01-12 00:00:00+05:30,475.2,478.0,458.0,461.5,1562389
2024-01-15 00:00:00+05:30,465.0,474.55,459.25,461.35,1284530
2024-01-16 00:00:00+05:30,463.8,466.0,445.2,457.75,1155848
2024-01-17 00:00:00+05:30,450.15,458.0,446.55,448.9,795769
2024-01-18 00:00:00+05:30,455.0,465.0,433.85,457.3,2669090
2024-01-19 00:00:00+05:30,472.0,480.15,467.75,480.15,3314412
2024-01-20 00:00:00+05:30,504.15,504.15,504.15,504.15,838240
2024-01-23 00:00:00+05:30,529.35,529.35,505.0,523.95,6510251
2024-01-24 00:00:00+05:30,540.0,550.1,507.2,550.1,4789735
2024-01-25 00:00:00+05:30,564.0,577.6,555.0,577.6,2755063
2024-01-29 00:00:00+05:30,597.7,606.45,594.9,606.45,1406406
2024-01-30 00:00:00+05:30,625.0,627.7,577.1,583.15,4280659
2024-01-31 00:00:00+05:30,590.05,597.0,556.75,566.7,2368832
2024-02-01 00:00:00+05:30,584.95,588.8,566.7,573.25,1787805
2024-02-02 00:00:00+05:30,581.0,585.7,555.5,569.25,1342512
2024-02-05 00:00:00+05:30,585.0,589.4,567.1,572.05,1420369
2024-02-06 00:00:00+05:30,579.0,597.8,571.85,586.85,1117762
2024-02-07 00:00:00+05:30,597.0,616.15,587.0,615.9,2016960
2024-02-08 00:00:00+05:30,634.95,646.65,603.25,633.3,2672368
2024-02-09 00:00:00+05:30,639.8,647.0,605.35,614.85,1441804
2024-02-12 00:00:00+05:30,622.05,626.45,584.1,584.1,1278498
2024-02-13 00:00:00+05:30,555.0,569.9,554.9,555.75,2389865
2024-02-14 00:00:00+05:30,552.0,583.5,540.0,582.35,1720579
2024-02-15 00:00:00+05:30,588.9,593.5,573.6,580.2,998015
2024-02-16 00:00:00+05:30,587.7,592.5,580.2,586.25,705651
2024-02-19 00:00:00+05:30,597.7,615.55,594.3,603.95,2203926
2024-02-20 00:00:00+05:30,609.95,614.8,590.55,597.3,705066
2024-02-21 00:00:00+05:30,606.0,606.5,568.1,571.65,995896
2024-02-22 00:00:00+05:30,575.0,596.0,557.0,589.4,1275788
2024-02-23 00:00:00+05:30,596.9,603.0,586.5,598.65,888915
2024-02-26 00:00:00+05:30,605.1,608.0,583.05,585.25,718168
2024-02-27 00:00:00+05:30,588.95,614.0,588.9,595.95,972517
2024-02-28 00:00:00+05:30,596.85,598.9,568.6,576.55,882782
2024-02-29 00:00:00+05:30,577.0,605.35,561.7,604.25,2206613
2024-03-01 00:00:00+05:30,609.8,612.0,594.75,597.8,636998
2024-03-02 00:00:00+05:30,601.0,603.5,597.5,598.95,96674
2024-03-04 00:00:00+05:30,603.0,603.0,586.05,589.8,418211
2024-03-05 00:00:00+05:30,592.0,593.95,576.65,592.2,555455
2024-03-06 00:00:00+05:30,592.9,592.9,569.15,579.4,722970
2024-03-07 00:00:00+05:30,582.0,592.5,573.1,584.3,533555
2024-03-11 00:00:00+05:30,590.0,590.8,564.05,570.15,703351
2024-03-12 00:00:00+05:30,570.15,570.15,541.65,541.65,986016
2024-03-13 00:00:00+05:30,514.6,514.6,514.6,514.6,501719
2024-03-14 00:00:00+05:30,488.9,509.0,488.9,499.6,8468648
2024-03-15 00:00:00+05:30,499.0,506.35,475.0,488.95,4974863
2024-03-18 00:00:00+05:30,486.85,496.35,474.05,485.5,1339890
2024-03-19 00:00:00+05:30,484.0,491.45,475.0,475.55,770206
2024-03-20 00:00:00+05:30,477.8,481.4,460.0,468.45,1100354
2024-03-21 00:00:00+05:30,477.0,491.85,477.0,491.85,426256
2024-03-22 00:00:00+05:30,508.0,516.4,504.15,516.4,380847
2024-03-26 00:00:00+05:30,542.2,542.2,517.9,521.6,2028025
2024-03-27 00:00:00+05:30,529.95,538.3,515.05,518.2,783236
2024-03-28 00:00:00+05:30,520.0,533.0,517.2,523.25,629226
2024-04-01 00:00:00+05:30,528.0,549.4,528.0,540.0,887235
2024-04-02 00:00:00+05:30,541.95,546.1,536.1,537.7,644328
2024-04-03 00:00:00+05:30,539.0,553.45,532.1,537.75,749465
2024-04-04 00:00:00+05:30,541.8,542.8,520.0,526.7,904878
2024-04-05 00:00:00+05:30,531.95,536.1,521.0,523.0,1016372
