date,open,high,low,close,volume
2023-12-07 00:00:00+05:30,569.8,569.8,561.65,562.65,1902172
2023-12-08 00:00:00+05:30,565.95,571.6,556.6,561.35,2268431
2023-12-11 00:00:00+05:30,561.15,579.1,559.75,577.85,4656965
2023-12-12 00:00:00+05:30,581.3,582.0,571.55,573.35,2439115
2023-12-13 00:00:00+05:30,576.5,578.15,568.65,574.9,2200261
2023-12-14 00:00:00+05:30,578.45,579.4,572.2,574.75,2113117
2023-12-15 00:00:00+05:30,576.95,587.8,576.95,585.95,5151120
2023-12-18 00:00:00+05:30,588.8,589.7,580.35,581.85,1756884
2023-12-19 00:00:00+05:30,582.25,587.05,573.5,574.35,2498588
2023-12-20 00:00:00+05:30,580.35,580.35,545.8,548.85,5743400
2023-12-21 00:00:00+05:30,548.85,556.3,542.65,553.85,3220516
2023-12-22 00:00:00+05:30,557.3,561.9,553.85,557.95,2569676
2023-12-26 00:00:00+05:30,563.95,570.75,561.15,562.2,3590174
2023-12-27 00:00:00+05:30,566.05,568.15,557.4,559.45,2247074
2023-12-28 00:00:00+05:30,562.0,566.9,558.3,565.45,2367158
2023-12-29 00:00:00+05:30,567.85,567.85,561.2,563.3,2318111
2024-01-01 00:00:00+05:30,564.05,575.45,563.25,568.55,2945767
2024-01-02 00:00:00+05:30,568.85,579.2,565.05,570.2,3551381
2024-01-03 00:00:00+05:30,571.1,572.5,561.45,562.95,2538701
2024-01-04 00:00:00+05:30,563.1,565.2,558.9,563.7,3759633
2024-01-05 00:00:00+05:30,565.3,566.85,553.0,557.55,2536660
2024-01-08 00:00:00+05:30,557.3,559.05,537.2,538.05,5572873
2024-01-09 00:00:00+05:30,542.95,544.8,530.7,535.4,3743204
2024-01-10 00:00:00+05:30,538.15,538.85,529.4,535.85,2298161
2024-01-11 00:00:00+05:30,539.05,543.1,537.7,539.35,1689553
2024-01-12 00:00:00+05:30,543.05,545.2,539.5,542.05,1502325
2024-01-15 00:00:00+05:30,544.85,548.35,541.5,544.6,1730177
2024-01-16 00:00:00+05:30,544.85,546.0,537.65,541.5,1724091
2024-01-17 00:00:00+05:30,538.15,539.55,527.2,528.55,4925594
2024-01-18 00:00:00+05:30,527.6,529.5,517.2,522.0,3662111
2024-01-19 00:00:00+05:30,526.6,534.5,520.65,530.85,2518171
2024-01-20 00:00:00+05:30,534.25,534.7,529.1,529.95,845751
2024-01-23 00:00:00+05:30,535.7,535.7,511.8,513.3,2970287
2024-01-24 00:00:00+05:30,517.9,524.7,513.3,523.5,1445087
2024-01-25 00:00:00+05:30,523.5,525.3,514.15,515.4,1796858
2024-01-29 00:00:00+05:30,520.1,520.6,512.6,517.65,2254578
2024-01-30 00:00:00+05:30,519.8,525.2,512.6,513.45,1993544
2024-01-31 00:00:00+05:30,516.95,520.65,512.35,515.8,3722634
2024-02-01 00:00:00+05:30,514.45,517.05,505.05,508.45,3817591
2024-02-02 00:00:00+05:30,512.15,518.6,507.7,511.9,4404503
2024-02-05 00:00:00+05:30,502.65,503.6,450.9,454.7,24078026
2024-02-06 00:00:00+05:30,456.8,466.2,449.2,462.2,6944833
2024-02-07 00:00:00+05:30,464.25,465.25,457.8,458.35,3199716
2024-02-08 00:00:00+05:30,460.45,462.15,444.65,445.9,5436239
2024-02-09 00:00:00+05:30,448.85,448.85,434.85,439.3,6131561
2024-02-12 00:00:00+05:30,443.0,446.8,436.5,439.7,4591817
2024-02-13 00:00:00+05:30,443.2,460.4,433.7,459.55,8033893
2024-02-14 00:00:00+05:30,459.65,462.75,453.0,461.8,3346935
2024-02-15 00:00:00+05:30,467.05,470.45,464.95,467.5,3720055
2024-02-16 00:00:00+05:30,464.3,474.05,461.45,470.9,3518217
2024-02-19 00:00:00+05:30,473.6,479.6,471.5,477.25,3527538
