date,open,high,low,close,volume
2023-12-07 00:00:00+05:30,219.0,219.3,213.75,217.0,6937185
2023-12-08 00:00:00+05:30,217.85,221.9,209.95,213.1,13224817
2023-12-11 00:00:00+05:30,215.35,217.85,212.65,216.7,5346227
2023-12-12 00:00:00+05:30,217.15,219.4,213.95,214.9,5675356
2023-12-13 00:00:00+05:30,215.4,223.65,212.0,221.3,15557190
2023-12-14 00:00:00+05:30,223.65,225.75,216.95,222.55,18271383
2023-12-15 00:00:00+05:30,226.25,227.5,223.5,225.0,17235864
2023-12-18 00:00:00+05:30,227.65,231.0,224.7,228.35,12388584
2023-12-19 00:00:00+05:30,233.65,233.8,226.95,229.65,17762921
2023-12-20 00:00:00+05:30,231.4,231.5,218.85,219.5,15309407
2023-12-21 00:00:00+05:30,219.05,224.7,217.25,223.8,10812029
2023-12-22 00:00:00+05:30,227.2,228.95,225.45,227.4,9677532
2023-12-26 00:00:00+05:30,229.55,230.45,227.25,229.3,12322864
2023-12-27 00:00:00+05:30,230.45,232.8,229.4,230.9,10673963
2023-12-28 00:00:00+05:30,231.5,237.55,231.5,235.85,15441735
2023-12-29 00:00:00+05:30,234.35,237.7,232.55,236.8,9136816
2024-01-01 00:00:00+05:30,236.8,238.45,234.35,235.45,6352734
2024-01-02 00:00:00+05:30,235.8,237.6,231.6,236.4,5803881
2024-01-03 00:00:00+05:30,236.75,245.1,234.2,241.8,22285124
2024-01-04 00:00:00+05:30,247.75,248.35,243.3,244.05,10745140
2024-01-05 00:00:00+05:30,244.05,248.95,241.15,243.8,12327980
2024-01-08 00:00:00+05:30,243.8,245.45,236.1,236.7,7890414
2024-01-09 00:00:00+05:30,240.0,242.4,234.0,238.55,10284498
2024-01-10 00:00:00+05:30,234.0,246.0,230.5,244.9,19849401
2024-01-11 00:00:00+05:30,246.4,253.5,244.45,252.15,24108269
2024-01-12 00:00:00+05:30,252.15,252.55,247.95,250.2,10048702
2024-01-15 00:00:00+05:30,251.55,252.55,247.45,250.6,9881531
2024-01-16 00:00:00+05:30,254.45,255.45,247.1,250.8,12507371
2024-01-17 00:00:00+05:30,248.2,250.1,241.6,242.8,10649774
2024-01-18 00:00:00+05:30,243.45,246.7,236.25,245.4,9930238
2024-01-19 00:00:00+05:30,246.0,247.45,243.8,244.35,4537034
2024-01-20 00:00:00+05:30,244.65,245.6,242.35,242.8,2943766
2024-01-23 00:00:00+05:30,244.75,244.9,229.25,230.65,8740319
2024-01-24 00:00:00+05:30,233.2,241.35,231.6,240.6,6563186
2024-01-25 00:00:00+05:30,242.35,244.7,238.8,241.6,5195068
2024-01-29 00:00:00+05:30,241.75,246.95,238.65,245.65,11648515
2024-01-30 00:00:00+05:30,246.0,249.0,243.2,244.15,6620878
2024-01-31 00:00:00+05:30,244.7,254.35,243.7,251.45,9537630
2024-02-01 00:00:00+05:30,252.95,253.95,243.0,246.3,7974578
2024-02-02 00:00:00+05:30,247.95,254.25,246.55,250.2,9665486
2024-02-05 00:00:00+05:30,250.45,257.15,249.25,251.2,10619393
2024-02-06 00:00:00+05:30,251.3,261.6,247.6,260.2,11559491
2024-02-07 00:00:00+05:30,262.1,262.9,255.0,259.5,7603119
2024-02-08 00:00:00+05:30,261.15,262.55,254.05,255.95,6966850
2024-02-09 00:00:00+05:30,256.35,257.75,246.2,251.9,4627489
2024-02-12 00:00:00+05:30,254.4,258.3,243.0,246.0,6191878
2024-02-13 00:00:00+05:30,245.4,248.7,238.85,247.25,4469509
2024-02-14 00:00:00+05:30,246.8,259.8,242.55,257.0,11916664
2024-02-15 00:00:00+05:30,259.75,261.15,244.9,245.8,108103036
2024-02-16 00:00:00+05:30,247.05,249.65,243.05,244.7,16394886
2024-02-19 00:00:00+05:30,246.7,250.8,244.95,247.9,10944899
2024-02-20 00:00:00+05:30,248.6,249.85,245.95,247.9,9025475
2024-02-21 00:00:00+05:30,250.6,253.85,246.3,247.75,12329064
2024-02-22 00:00:00+05:30,249.55,250.55,244.95,249.2,6661898
2024-02-23 00:00:00+05:30,249.65,249.85,245.85,246.15,5955886
2024-02-26 00:00:00+05:30,246.75,246.75,242.05,243.2,4923166
2024-02-27 00:00:00+05:30,244.6,245.85,240.65,241.9,5033046
2024-02-28 00:00:00+05:30,246.3,249.95,239.65,241.0,17579831
2024-02-29 00:00:00+05:30,241.15,247.65,238.95,245.9,9404521
2024-03-01 00:00:00+05:30,243.05,250.5,241.6,249.45,12244554
2024-03-02 00:00:00+05:30,249.65,251.1,248.4,250.65,2057755
2024-03-04 00:00:00+05:30,250.65,256.35,250.4,253.8,10443351
2024-03-05 00:00:00+05:30,254.9,265.35,252.15,262.75,19847512
2024-03-06 00:00:00+05:30,263.55,266.15,252.55,259.65,13944430
2024-03-07 00:00:00+05:30,260.85,264.4,258.3,260.05,9134995
2024-03-11 00:00:00+05:30,260.05,260.05,251.55,252.85,6214148
2024-03-12 00:00:00+05:30,253.5,254.25,245.35,248.05,7220451
2024-03-13 00:00:00+05:30,246.3,248.2,228.15,230.45,15451474
2024-03-14 00:00:00+05:30,230.35,239.6,230.15,238.3,10335603
2024-03-15 00:00:00+05:30,238.3,243.9,233.55,243.05,17681404
2024-03-18 00:00:00+05:30,242.95,250.55,240.35,248.75,7234156
2024-03-19 00:00:00+05:30,247.75,252.3,243.55,244.55,5908875
2024-03-20 00:00:00+05:30,245.85,247.65,239.9,245.5,4421057
2024-03-21 00:00:00+05:30,248.7,251.75,247.9,251.0,5477627
2024-03-22 00:00:00+05:30,250.6,251.95,247.65,248.8,9338889
2024-03-26 00:00:00+05:30,249.45,250.4,245.2,246.35,10405333
2024-03-27 00:00:00+05:30,247.65,251.8,245.6,249.3,5949040
2024-03-28 00:00:00+05:30,249.65,252.55,248.45,249.3,6625066
2024-04-01 00:00:00+05:30,251.1,265.2,250.95,264.5,17331916
2024-04-02 00:00:00+05:30,263.95,278.3,262.9,277.7,27928247
2024-04-03 00:00:00+05:30,277.6,284.1,274.35,275.3,19966252
2024-04-04 00:00:00+05:30,282.25,288.4,278.05,285.95,24723528
2024-04-05 00:00:00+05:30,287.0,297.85,282.15,294.55,22256365
2024-04-08 00:00:00+05:30,299.3,300.7,292.8,298.75,16694867
2024-04-09 00:00:00+05:30,299.5,314.25,296.15,312.8,32086038
2024-04-10 00:00:00+05:30,321.4,343.05,320.15,335.55,75804480
2024-04-12 00:00:00+05:30,339.15,348.1,334.6,346.2,39995547
2024-04-15 00:00:00+05:30,347.25,356.75,334.05,343.95,44715399
2024-04-16 00:00:00+05:30,343.5,354.4,337.7,351.25,28859435
2024-04-18 00:00:00+05:30,357.8,367.05,355.9,361.1,35907412
2024-04-19 00:00:00+05:30,360.8,369.0,355.05,358.65,33307212
2024-04-22 00:00:00+05:30,364.6,365.55,346.65,353.9,19626373
2024-04-23 00:00:00+05:30,356.05,356.05,344.45,350.15,14434838
2024-04-24 00:00:00+05:30,349.15,359.3,349.15,356.25,11074253
2024-04-25 00:00:00+05:30,352.95,360.35,350.2,353.95,10150138
2024-04-26 00:00:00+05:30,359.55,374.9,358.7,368.8,24602811
2024-04-29 00:00:00+05:30,373.2,379.95,369.3,378.1,11228541
2024-04-30 00:00:00+05:30,380.8,381.6,368.25,370.05,11863519
2024-05-02 00:00:00+05:30,372.1,385.4,369.5,382.45,12788526
2024-05-03 00:00:00+05:30,386.45,391.25,376.3,387.05,14324148
2024-05-06 00:00:00+05:30,389.3,390.0,376.35,382.15,8108475
2024-05-07 00:00:00+05:30,382.15,383.1,364.45,368.25,8797213
2024-05-08 00:00:00+05:30,365.4,381.6,365.25,376.75,8831897
2024-05-09 00:00:00+05:30,378.6,380.15,365.4,367.0,6134997
2024-05-10 00:00:00+05:30,369.25,383.45,367.55,382.35,11076423
2024-05-13 00:00:00+05:30,384.1,386.9,370.3,385.55,10884162
2024-05-14 00:00:00+05:30,392.2,408.9,386.5,403.25,22195946
2024-05-15 00:00:00+05:30,408.45,418.95,405.35,407.85,20115791
2024-05-16 00:00:00+05:30,415.15,417.1,397.95,403.7,16155897
2024-05-17 00:00:00+05:30,406.55,415.15,403.3,412.9,13366917
2024-05-18 00:00:00+05:30,416.1,430.9,415.35,428.15,5346229
2024-05-21 00:00:00+05:30,440.0,461.9,432.35,459.8,34592201
2024-05-22 00:00:00+05:30,465.85,474.2,445.55,455.3,33932802
2024-05-23 00:00:00+05:30,448.6,448.7,431.2,441.65,25849836
2024-05-24 00:00:00+05:30,443.75,449.6,439.65,440.8,12873214
2024-05-27 00:00:00+05:30,441.85,448.15,437.0,439.7,11775106
2024-05-28 00:00:00+05:30,442.8,451.4,433.6,435.2,17930755
2024-05-29 00:00:00+05:30,434.1,442.2,431.55,434.5,11526945
2024-05-30 00:00:00+05:30,434.25,438.1,418.2,421.65,13122990
2024-05-31 00:00:00+05:30,427.4,436.05,420.9,430.45,35126841
2024-06-03 00:00:00+05:30,451.5,451.7,432.75,437.95,14471274
2024-06-04 00:00:00+05:30,438.1,438.1,350.4,399.7,30797125
2024-06-05 00:00:00+05:30,400.8,426.6,384.2,421.55,16642007
2024-06-06 00:00:00+05:30,431.4,438.1,426.9,430.35,13579110
2024-06-07 00:00:00+05:30,434.65,442.85,432.2,440.65,11283521
2024-06-10 00:00:00+05:30,435.7,435.7,422.1,424.8,13920775
2024-06-11 00:00:00+05:30,424.7,436.0,423.1,424.45,10546091
2024-06-12 00:00:00+05:30,427.8,433.95,423.35,424.95,11163309
2024-06-13 00:00:00+05:30,429.5,430.4,419.9,420.7,11641274
2024-06-14 00:00:00+05:30,421.95,432.25,420.9,428.15,9634670
2024-06-18 00:00:00+05:30,430.4,435.05,428.15,432.65,8601634
2024-06-19 00:00:00+05:30,432.9,435.8,426.65,428.95,6416994
2024-06-20 00:00:00+05:30,430.45,458.2,429.65,449.55,28530186
2024-06-21 00:00:00+05:30,452.2,454.0,443.85,449.8,17801714
2024-06-24 00:00:00+05:30,440.05,451.0,437.35,443.2,7716484
2024-06-25 00:00:00+05:30,445.0,448.2,431.4,434.3,8309097
2024-06-26 00:00:00+05:30,417.7,427.45,407.55,422.9,162210828
2024-06-27 00:00:00+05:30,422.8,426.7,414.7,424.05,20922873
2024-06-28 00:00:00+05:30,425.3,438.7,424.55,434.25,15248617
2024-07-01 00:00:00+05:30,437.15,448.5,436.4,444.8,15408362
2024-07-02 00:00:00+05:30,446.7,452.55,435.25,437.95,11050920
2024-07-03 00:00:00+05:30,440.15,445.05,438.35,443.75,7347763
2024-07-04 00:00:00+05:30,447.75,452.9,443.3,448.7,12818706
2024-07-05 00:00:00+05:30,449.95,458.75,446.7,453.25,12860621
2024-07-08 00:00:00+05:30,455.2,456.75,444.6,445.4,8576939
2024-07-09 00:00:00+05:30,447.1,447.65,442.5,445.4,5474279
2024-07-10 00:00:00+05:30,445.75,446.65,425.8,436.85,11556309
2024-07-11 00:00:00+05:30,437.15,438.1,422.45,428.25,13978497
2024-07-12 00:00:00+05:30,432.25,434.65,425.75,430.15,11038603
2024-07-15 00:00:00+05:30,432.45,442.4,426.85,439.5,10391508
