symbol,reason,score,close,pivot,dist_to_pivot_pct,box_span_pct,atr_ratio,vol5_to_vol50,uptrend,within_20pct_high,nr7_today,inside_today,tv20_cr
360ONE,ranked,0.1973,1083.8,1228.8,11.8,15.67,0.78,0.85,False,True,False,False,265.92
3MINDIA,ranked,0.0459,30900.0,32090.0,3.71,10.24,1.19,1.97,False,False,True,False,20.94
AADHARHFC,ranked,0.1,508.05,537.5,5.48,17.52,1.41,2.29,True,True,False,False,72.28
AARTIIND,ranked,0.1314,442.1,459.65,3.82,9.53,0.88,1.18,False,False,False,False,51.76
AAVAS,ranked,0.1844,1760.0,2013.9,12.61,16.1,0.92,0.44,False,False,False,False,32.88
ABB,ranked,0.1984,5590.0,5872.0,4.8,7.23,1.08,0.87,False,False,False,False,186.2
ABBOTINDIA,ranked,0.4048,34720.0,35290.0,1.62,7.85,1.09,0.83,True,True,False,False,23.45
ABCAPITAL,ranked,0.2557,252.5,273.75,7.76,9.37,0.92,0.71,False,True,True,False,85.22
ABFRL,below_price_floor,,75.39,,,,,,,,,,
ABREL,ranked,0.0545,1937.5,2253.5,14.02,16.91,0.94,1.34,False,False,True,True,35.26
ABSLAMC,ranked,0.2853,875.0,901.25,2.91,7.23,1.01,1.08,True,True,False,True,36.87
ACC,ranked,0.0687,1829.0,1998.0,8.46,9.68,1.15,1.82,False,False,True,True,78.23
ACE,ranked,0.2109,1124.9,1199.0,6.18,10.78,0.82,0.59,False,False,False,False,15.61
ACMESOLAR,insufficient_history,,,,,,,,,,,,
ADANIENSOL,ranked,0.2301,828.3,887.8,6.7,10.56,0.81,0.52,False,False,False,False,153.88
ADANIENT,ranked,0.3783,2546.3,2654.5,4.08,5.77,0.72,0.46,False,False,False,False,114.4
ADANIGREEN,ranked,0.1639,1016.4,1054.9,3.65,8.06,0.94,1.13,False,False,False,False,200.73
ADANIPORTS,ranked,0.3967,1397.0,1474.0,5.22,7.19,0.77,0.38,False,True,False,True,135.99
ADANIPOWER,ranked,0.2955,591.6,619.3,4.47,9.85,0.8,0.56,True,False,False,False,263.12
AEGISLOG,ranked,0.4436,728.55,761.0,4.26,5.63,0.56,0.29,False,False,False,False,23.05
AFCONS,insufficient_history,,,,,,,,,,,,
AFFLE,ranked,0.1317,1965.0,2025.0,2.96,12.82,1.06,1.2,True,True,False,False,53.55
AIAENG,ranked,0.214,3183.4,3472.0,8.31,9.74,0.96,0.56,False,False,False,False,16.79
AIIL,ranked,0.1457,2825.0,2896.0,2.45,22.3,1.54,3.17,True,True,False,False,120.8
AJANTPHARM,ranked,0.3532,2827.0,2862.4,1.24,9.56,1.11,0.74,False,True,False,False,48.39
AKUMS,ranked,0.3026,543.0,569.8,4.7,8.2,0.82,0.43,False,False,False,False,13.91
ALIVUS,ranked,0.238,1019.8,1102.7,7.52,9.18,0.95,0.51,False,False,True,False,8.83
ALKEM,ranked,0.5777,5069.0,5097.5,0.56,6.13,0.71,0.45,False,False,False,False,55.6
ALKYLAMINE,ranked,0.351,2207.9,2348.8,6.0,9.28,1.01,0.34,True,True,False,False,22.43
ALOKINDS,below_price_floor,,19.6,,,,,,,,,,
AMBER,ranked,0.2243,7833.0,8008.5,2.19,10.28,1.13,1.27,True,True,False,False,293.71
AMBUJACEM,ranked,0.4168,611.75,624.95,2.11,6.61,0.92,0.9,True,True,False,False,147.86
ANANDRATHI,ranked,0.4217,2688.4,2698.2,0.36,17.93,1.84,0.59,True,True,True,False,132.0
ANANTRAJ,ranked,0.0256,580.0,620.0,6.45,12.52,1.08,1.61,False,False,False,False,183.41
ANGELONE,ranked,0.1868,2649.0,2872.0,7.76,11.02,0.83,0.69,False,False,False,False,365.6
APARINDS,ranked,0.234,9716.0,9855.0,1.41,13.94,1.19,2.57,True,True,False,False,110.18
APLAPOLLO,ranked,0.0252,1523.7,1726.0,11.72,15.36,1.08,1.97,False,False,False,True,132.52
APLLTD,ranked,0.4001,1007.1,1044.8,3.61,7.22,0.86,0.24,True,False,False,True,15.92
APOLLOHOSP,ranked,0.6029,7469.0,7502.0,0.44,4.4,1.01,0.84,True,True,False,False,336.64
APOLLOTYRE,ranked,0.3312,455.5,473.0,3.7,5.83,0.94,0.46,False,False,False,True,60.99
APTUS,ranked,0.3339,331.0,354.8,6.71,9.08,1.06,0.4,True,True,False,False,48.03
ARE&M,ranked,0.176,994.0,1033.25,3.8,7.02,1.02,1.11,False,False,False,False,58.4
ASAHIINDIA,ranked,0.4773,831.5,876.4,5.12,6.79,0.84,0.16,True,True,True,False,54.29
ASHOKLEY,ranked,0.3909,123.0,127.2,3.3,4.55,1.12,0.68,True,True,False,True,112.61
ASIANPAINT,ranked,0.4063,2406.1,2448.6,1.74,5.34,1.0,0.64,False,False,False,False,226.49
ASTERDM,ranked,0.4138,591.8,617.95,4.23,7.75,0.72,0.55,True,True,False,False,136.52
ASTRAL,ranked,0.2765,1420.0,1521.9,6.7,8.08,0.71,0.74,False,False,False,False,85.8
ASTRAZEN,ranked,0.3425,8960.0,9650.5,7.16,9.24,0.95,0.18,False,True,False,False,34.15
ATGL,ranked,0.3309,629.5,666.9,5.61,7.77,0.72,0.45,False,False,False,False,34.6
ATUL,ranked,0.1439,6717.0,7675.0,12.48,18.02,1.16,0.68,False,True,True,False,32.96
AUBANK,ranked,0.1428,740.25,820.8,9.81,13.43,1.1,0.76,False,True,False,False,198.89
AUROPHARMA,ranked,0.5026,1157.4,1166.8,0.81,5.77,0.81,0.7,False,False,False,False,111.99
AWL,ranked,0.1426,264.95,286.0,7.36,9.83,1.06,0.84,False,False,True,False,115.11
AXISBANK,ranked,0.0893,1065.0,1179.9,9.74,11.69,1.05,1.45,False,True,False,False,1038.22
BAJAJ-AUTO,ranked,0.2814,8127.0,8470.0,4.05,5.35,0.96,0.8,False,False,False,False,222.33
BAJAJFINSV,ranked,0.2893,1975.2,2063.2,4.27,6.6,0.87,0.98,False,True,False,False,231.18
BAJAJHFL,insufficient_history,,,,,,,,,,,,
BAJAJHLDNG,ranked,0.4625,14062.0,14350.0,2.01,5.97,0.83,0.89,True,True,False,True,55.84
BAJFINANCE,ranked,0.1181,887.0,970.95,8.65,10.99,0.99,1.48,False,True,False,False,703.31
BALKRISIND,ranked,0.2511,2736.0,2801.3,2.33,7.69,1.22,0.97,False,True,False,False,117.65
BALRAMCHIN,ranked,0.2639,594.0,627.8,5.38,8.3,0.92,0.82,False,True,False,False,19.56
BANDHANBNK,ranked,0.1781,173.9,188.15,7.57,9.11,0.97,0.85,False,False,False,False,154.4
BANKBARODA,ranked,0.3458,242.04,250.57,3.4,5.84,1.02,0.87,True,True,True,True,191.99
BANKINDIA,ranked,0.3346,112.3,118.47,5.21,7.28,0.77,0.73,False,True,False,False,79.49
BASF,ranked,0.1924,5060.0,5260.0,3.8,8.13,1.05,0.81,False,False,False,False,10.75
BATAINDIA,ranked,0.2593,1198.0,1273.1,5.9,7.18,0.89,0.76,False,False,False,False,16.65
BAYERCROP,ranked,0.5076,6330.5,6491.0,2.47,5.16,0.95,0.36,True,True,False,True,23.36
BBTC,ranked,0.1491,1935.1,2074.0,6.7,8.82,0.87,1.43,False,False,False,False,12.61
BDL,ranked,0.2255,1621.0,1851.3,12.44,16.02,0.77,0.39,False,False,False,False,342.85
BEL,ranked,0.3045,390.0,412.9,5.55,8.95,0.84,0.58,False,True,False,False,620.89
BEML,ranked,0.2703,4058.0,4727.0,14.15,19.37,0.83,0.34,False,True,False,False,227.23
BERGEPAINT,ranked,0.4371,572.0,585.25,2.26,5.32,0.89,0.64,False,True,False,False,25.46
BHARATFORG,ranked,0.4644,1219.0,1241.7,1.83,4.65,0.85,0.54,False,False,False,False,105.57
BHARTIARTL,ranked,0.3499,1913.7,1970.4,2.88,4.72,1.07,0.71,False,True,False,False,960.6
BHARTIHEXA,ranked,0.4005,1788.1,1850.3,3.36,7.33,0.78,0.32,False,True,False,False,46.49
BHEL,ranked,0.2275,241.1,259.75,7.18,10.58,0.83,0.51,False,False,False,False,103.02
BIKAJI,ranked,0.077,769.0,814.65,5.6,12.6,1.07,1.98,True,False,False,False,25.7
BIOCON,ranked,0.355,397.9,406.0,2.0,9.3,1.07,0.74,True,True,False,False,192.25
BLS,ranked,0.2432,373.5,390.5,4.35,9.45,0.88,0.52,False,False,False,False,65.26
