symbol,close,volume,high,low,open,ema_4,ema_9,ema_18,ema_50,ema_200,above_ema_9,above_ema_50,above_ema_200,ema_trend
WAAREEENER,3172.6,9416768,3291.0,3158.0,3188.0,3164.97,3168.09,3170.26,3171.16,3170.87,True,True,True,bearish
HDFCBANK,2021.6,9947848,2026.5,1996.3,1999.9,2013.45,2007.4,2002.38,1998.13,1996.16,True,True,True,bullish
AXISBANK,1064.2,15599773,1078.7,1055.4,1070.9,1078.17,1097.47,1119.25,1144.74,1160.02,False,False,False,bearish
RELIANCE,1417.1,10750072,1420.2,1383.0,1383.0,1405.93,1411.02,1417.26,1423.73,1427.29,True,False,False,bearish
TCS,3056.0,4785312,3074.0,3041.2,3060.0,3095.4,3123.03,3138.85,3150.8,3156.3,False,False,False,bearish
ICICIBANK,1486.2,9776027,1489.8,1475.4,1479.9,1482.82,1471.05,1457.36,1442.42,1433.97,True,True,True,bullish
INDUSINDBK,808.2,16766666,818.85,790.0,800.0,818.37,833.89,844.16,850.63,852.48,False,False,False,bearish
MAZDOCK,2720.4,4587434,2767.0,2645.0,2695.5,2811.89,2902.58,3005.07,3139.18,3227.47,False,False,False,bearish
VBL,512.15,24363407,514.8,478.05,486.1,495.35,487.74,479.78,469.32,462.48,True,True,True,bullish
INFY,1513.7,7070448,1517.2,1496.1,1512.9,1526.12,1545.53,1560.79,1574.61,1581.73,False,False,False,bearish
AMBER,7810.5,1350156,8008.5,7252.0,7465.0,7561.64,7522.33,7565.97,7657.1,7724.79,True,True,True,bullish
APARINDS,9681.5,1057407,9855.0,8501.0,8650.0,9217.12,9110.03,9034.29,8957.45,8915.42,True,True,True,bullish
BAJFINANCE,886.55,11323854,894.0,873.5,875.05,903.98,919.74,925.96,928.29,928.48,False,False,False,bearish
KOTAKBANK,1972.7,5043934,1979.7,1953.0,1967.0,2032.76,2089.45,2128.25,2163.07,2181.38,False,False,False,bearish
BEL,388.25,25307639,390.75,378.0,390.0,392.04,396.63,401.55,407.81,411.87,False,False,False,bearish
TATACHEM,1000.0,9619563,1004.9,949.0,950.55,965.58,953.95,944.29,933.73,927.58,True,True,True,bullish
HCLTECH,1472.4,6223556,1477.5,1461.0,1466.1,1484.52,1513.47,1553.56,1609.97,1648.18,False,False,False,bearish
JIOFIN,321.1,27086587,322.5,306.3,306.3,315.18,316.03,319.51,325.48,329.83,True,False,False,bearish
ETERNAL,306.55,23521231,307.2,300.0,305.0,305.49,295.91,284.75,272.51,265.5,True,True,True,bullish
BHARTIARTL,1918.3,3748040,1923.6,1880.0,1880.0,1916.79,1920.87,1924.79,1929.75,1932.94,False,False,False,bearish
BSE,2487.1,2601305,2500.0,2438.0,2450.0,2484.46,2491.88,2488.03,2477.36,2469.49,False,True,True,bearish
HAL,4498.0,1431472,4519.0,4401.0,4470.1,4555.4,4642.74,4730.1,4830.64,4891.79,False,False,False,bearish
TRENT,5001.5,1285403,5052.0,4957.5,4994.0,5066.32,5175.83,5266.9,5358.62,5411.0,False,False,False,bearish
TORNTPHARM,3768.1,1677573,3784.8,3660.2,3660.2,3656.19,3580.15,3506.83,3417.93,3361.67,True,True,True,bullish
IEX,134.65,46588839,138.54,132.0,137.3,144.7,162.83,179.1,194.88,203.3,False,False,False,bearish
SBIN,799.2,7833759,800.0,793.1,796.2,803.97,810.34,814.01,815.97,816.4,False,False,False,bearish
M&M,3199.4,1824673,3225.9,3186.6,3203.0,3219.65,3217.68,3201.08,3179.23,3166.88,False,True,True,bullish
GODIGIT,360.8,15881023,374.75,352.2,354.0,354.18,353.05,350.72,346.5,343.33,True,True,True,bullish
COFORGE,1720.5,3254411,1726.9,1694.0,1710.0,1731.13,1772.86,1813.69,1855.55,1878.93,False,False,False,bearish
LODHA,1246.5,4143162,1256.0,1211.1,1211.1,1267.48,1320.76,1360.34,1392.27,1406.87,False,False,False,bearish
PAYTM,1073.1,4756985,1094.85,1064.2,1094.2,1076.24,1054.91,1022.83,979.82,951.76,True,True,True,bullish
HDFCAMC,5627.5,816296,5673.0,5517.5,5536.0,5588.04,5536.42,5446.78,5321.22,5239.74,True,True,True,bullish
LAURUSLABS,909.85,4989767,913.7,875.65,889.0,877.01,852.69,833.4,811.96,798.72,True,True,True,bullish
SHRIRAMFIN,638.35,6858651,643.35,626.55,632.0,635.32,642.3,651.67,662.69,669.24,False,False,False,bearish
LT,3495.6,1241060,3504.3,3406.5,3418.0,3466.98,3470.76,3478.05,3486.79,3492.0,True,True,True,bearish
TATAMOTORS,692.35,6239871,694.0,680.6,681.9,688.96,687.69,688.18,691.25,694.24,True,True,False,bullish
CDSL,1539.7,2790287,1550.7,1516.2,1522.9,1580.37,1632.01,1671.62,1712.78,1737.5,False,False,False,bearish
ASIANPAINT,2401.5,1742815,2418.3,2325.0,2359.0,2374.56,2373.99,2379.65,2387.24,2391.78,True,True,True,bullish
MCX,7839.5,469132,7864.5,7614.0,7724.0,7928.52,8057.6,8154.15,8251.56,8309.07,False,False,False,bearish
INDIGO,5756.0,634249,5795.0,5703.0,5725.5,5790.65,5832.22,5866.56,5902.17,5922.68,False,False,False,bearish
BOSCHLTD,39915.0,89125,40120.0,37615.0,37700.0,38793.41,38318.29,37802.37,37010.45,36435.42,True,True,True,bullish
MARUTI,12469.0,285115,12507.0,12268.0,12340.0,12444.27,12468.03,12490.19,12515.12,12530.16,True,False,False,bearish
ADANIGREEN,1015.6,3489498,1022.9,993.5,1007.0,1009.3,1013.22,1012.57,1005.6,998.85,True,True,True,bearish
CANBK,110.09,32038885,111.39,109.53,110.01,110.55,111.23,111.84,112.26,112.37,False,False,False,bearish
RBLBANK,255.75,13017455,257.05,250.68,253.55,255.54,257.22,257.84,256.78,255.35,False,False,True,bearish
SUZLON,61.79,53322991,62.61,59.95,60.69,62.7,64.03,64.9,65.57,65.87,False,False,False,bearish
WIPRO,251.8,12923128,252.7,247.25,249.2,254.52,257.08,257.98,257.94,257.59,False,False,False,bearish
DIXON,16784.0,191247,16814.0,16584.0,16744.0,16696.58,16499.48,16284.68,16044.06,15902.91,True,True,True,bullish
PPLPHARMA,205.61,15371658,210.5,193.25,197.0,204.88,205.77,205.55,203.52,201.54,False,True,True,bearish
COROMANDEL,2495.4,1229394,2537.8,2401.3,2401.8,2441.93,2403.47,2370.23,2331.63,2307.04,True,True,True,bullish
ADANIPOWER,592.55,5170536,594.7,566.3,570.0,583.49,587.38,593.27,600.18,604.25,True,False,False,bearish
ITC,408.45,6811772,411.4,408.0,410.0,410.27,413.61,416.78,419.87,421.5,False,False,False,bearish
OLAELEC,41.71,65134571,42.34,40.92,41.45,41.63,41.66,41.45,40.8,40.21,True,True,True,bearish
BPCL,334.95,7809814,337.3,333.2,336.0,335.95,339.19,342.71,347.05,349.83,False,False,False,bearish
ULTRACEMCO,12221.0,208446,12262.0,12122.0,12200.0,12266.17,12340.55,12404.99,12468.31,12503.05,False,False,False,bearish
UPL,726.05,3504831,734.55,721.05,727.0,724.93,714.43,698.83,678.91,666.5,True,True,True,bullish
GAIL,182.98,13852750,185.34,178.2,179.3,183.21,183.98,184.48,185.07,185.49,False,False,False,bearish
NTPC,334.6,7551356,335.5,328.5,332.0,335.35,337.63,339.31,340.65,341.25,False,False,False,bearish
DRREDDY,1299.8,1943466,1302.0,1282.8,1287.0,1284.26,1272.9,1266.88,1262.95,1261.39,True,True,True,bullish
APOLLOHOSP,7456.0,336770,7469.0,7310.5,7356.5,7407.96,7378.19,7364.28,7359.42,7359.85,True,True,True,bullish
KALYANKJIL,604.4,4141737,607.1,591.05,594.1,601.27,598.92,595.49,591.29,588.77,True,True,True,bullish
TATASTEEL,161.69,15262937,162.45,158.2,158.2,161.41,161.33,160.74,159.83,159.24,True,True,True,bullish
NETWEB,1972.8,1246539,1994.7,1812.5,1815.1,1925.17,1920.06,1902.18,1861.49,1827.56,True,True,True,bullish
SWIGGY,413.8,5833966,415.7,402.3,408.1,411.1,406.61,399.99,391.62,386.39,True,True,True,bullish
POWERINDIA,19790.0,118530,19900.0,18800.0,18860.0,19487.26,19426.14,19371.22,19387.03,19443.69,True,True,True,bullish
UNITDSPR,1324.0,1769493,1331.0,1298.8,1316.0,1324.62,1337.38,1351.81,1369.01,1379.75,False,False,False,bearish
FIVESTAR,649.35,3588486,660.15,592.2,650.0,677.08,702.31,722.99,743.59,754.93,False,False,False,bearish
COLPAL,2215.0,1047287,2222.9,2194.0,2207.9,2233.82,2281.96,2327.02,2374.03,2401.02,False,False,False,bearish
GLENMARK,2158.0,1066676,2165.8,2120.0,2140.0,2152.56,2147.87,2107.87,2014.87,1937.68,True,True,True,bullish
TVSMOTOR,2801.8,820647,2825.0,2784.9,2790.0,2798.91,2808.66,2817.96,2825.5,2828.93,False,False,False,bearish
JSWSTEEL,1034.9,2215340,1051.3,1023.8,1023.8,1031.97,1032.25,1033.02,1034.06,1034.73,True,True,True,bearish
