symbol,score,close,pivot,dist_to_pivot_pct,box_span_pct,atr_ratio,vol5_to_vol50,uptrend,within_20pct_high,nr7_today,inside_today,tv20_cr,ema_9,ema_50,above_ema_9,above_ema_50,ema_trend
PTCIL,0.6503,14750.0,14850.0,0.67,5.09,0.6,0.55,False,True,False,False,21.38,14608.67,14565.03,True,True,bullish
SUNPHARMA,0.6387,1718.0,1731.3,0.77,3.49,0.77,0.6,False,True,False,False,280.75,1701.05,1717.02,True,False,bullish
PIIND,0.6274,4254.0,4258.0,0.09,6.64,1.08,0.45,True,True,False,False,56.28,4142.74,4157.33,True,True,bullish
APOLLOHOSP,0.6029,7469.0,7502.0,0.44,4.4,1.01,0.84,True,True,False,False,336.64,7377.13,7201.19,True,True,bullish
RAMCOCEM,0.6023,1194.5,1196.0,0.13,6.11,1.29,0.51,True,True,False,False,56.15,1171.51,1158.05,True,True,bullish
HDFCBANK,0.5938,2023.2,2037.7,0.71,4.19,0.99,0.81,True,True,False,False,1539.08,2007.1,1967.46,True,True,bullish
LUPIN,0.5927,1984.2,1987.0,0.14,5.53,0.93,0.68,False,True,False,False,195.21,1949.83,1947.67,True,True,bullish
DRREDDY,0.5868,1301.0,1302.0,0.08,5.46,0.82,1.27,True,True,False,False,180.57,1274.05,1268.58,True,True,bullish
ALKEM,0.5777,5069.0,5097.5,0.56,6.13,0.71,0.45,False,False,False,False,55.6,5003.14,4948.27,True,True,bullish
ZYDUSLIFE,0.5745,995.6,997.95,0.24,4.66,0.94,0.86,True,False,False,False,85.09,976.36,969.84,True,True,bullish
ESCORTS,0.5561,3489.9,3499.7,0.28,7.02,0.74,0.55,False,False,False,False,30.31,3428.47,3350.87,True,True,bullish
JSWSTEEL,0.5494,1035.9,1053.5,1.67,3.48,0.87,0.85,True,True,False,False,152.85,1032.25,1034.06,True,True,bearish
NAVINFLUOR,0.5262,5130.0,5180.0,0.97,6.74,0.94,0.77,True,True,False,False,52.13,5057.99,5061.38,True,True,bullish
HINDALCO,0.5206,693.95,704.4,1.48,5.98,0.76,0.88,True,True,False,False,286.75,688.33,670.44,True,True,bullish
ICICIBANK,0.5197,1484.9,1500.0,1.01,6.16,0.87,0.97,True,True,False,False,1244.44,1471.05,1442.42,True,True,bullish
TATASTEEL,0.5194,162.22,165.6,2.04,5.3,0.83,0.63,True,True,False,False,376.06,161.33,159.83,True,True,bullish
INDIGO,0.5158,5765.0,5964.5,3.34,4.54,0.77,0.36,True,True,False,False,474.07,5832.22,5902.17,False,False,bearish
BAYERCROP,0.5076,6330.5,6491.0,2.47,5.16,0.95,0.36,True,True,False,True,23.36,6332.33,5933.03,True,True,bullish
AUROPHARMA,0.5026,1157.4,1166.8,0.81,5.77,0.81,0.7,False,False,False,False,111.99,1133.42,1144.64,True,True,bullish
HINDZINC,0.4963,437.2,449.0,2.63,5.17,0.57,0.23,False,False,False,False,114.5,438.06,429.16,False,True,bearish
MRF,0.4958,149270.0,153000.0,2.44,4.32,0.94,0.59,True,True,False,True,112.57,149179.43,148734.78,True,True,bearish
LT,0.4946,3488.0,3548.7,1.71,4.12,0.77,0.9,False,True,False,False,499.18,3470.76,3486.79,True,True,bearish
MUTHOOTFIN,0.4851,2617.7,2718.0,3.69,5.18,0.77,0.45,True,True,False,False,87.2,2653.04,2650.38,False,False,bearish
SBILIFE,0.4816,1833.2,1858.0,1.33,5.67,1.01,0.93,True,True,False,True,163.47,1822.67,1814.3,True,True,bullish
DIXON,0.4816,16799.0,16969.0,1.0,7.49,0.73,0.87,False,True,True,False,680.45,16470.51,15529.45,True,True,bullish
ASAHIINDIA,0.4773,831.5,876.4,5.12,6.79,0.84,0.16,True,True,True,False,54.29,838.27,786.94,False,True,bearish
MARUTI,0.4755,12488.0,12719.0,1.82,3.61,0.87,0.91,False,True,False,False,326.23,12468.03,12515.12,True,False,bearish
ONGC,0.4755,241.1,247.35,2.53,3.96,0.59,0.55,False,False,False,False,187.44,242.78,243.24,False,False,bearish
BHARATFORG,0.4644,1219.0,1241.7,1.83,4.65,0.85,0.54,False,False,False,False,105.57,1215.73,1238.66,True,False,bearish
POLYCAB,0.4634,6926.5,7080.0,2.17,5.28,0.99,0.71,True,True,False,False,270.84,6877.33,6822.65,True,True,bullish
BAJAJHLDNG,0.4625,14062.0,14350.0,2.01,5.97,0.83,0.89,True,True,False,True,55.84,13986.37,13693.02,True,True,bearish
BOSCHLTD,0.4613,40090.0,40120.0,0.07,8.97,1.32,0.95,True,True,False,False,210.94,38244.14,34596.18,True,True,bullish
ITC,0.4593,408.2,425.9,4.16,4.45,0.78,0.4,False,True,False,False,359.14,413.61,419.87,False,False,bearish
SKFINDIA,0.4551,4830.0,5025.0,3.88,5.86,0.79,0.5,True,True,False,False,19.44,4905.1,4919.52,False,False,bearish
NH,0.4511,1987.0,2045.0,2.84,6.78,0.8,0.45,True,True,False,False,86.1,1980.03,1973.37,True,True,bullish
JIOFIN,0.4491,322.0,327.7,1.74,6.65,0.95,0.85,True,True,False,False,495.69,316.03,325.48,True,False,bearish
VEDL,0.4481,440.0,457.35,3.79,5.44,0.7,0.42,False,True,False,False,337.13,444.83,442.28,False,False,bearish
RADICO,0.4475,2687.5,2785.9,3.53,5.02,0.79,0.68,True,True,False,True,54.22,2712.56,2709.16,False,False,bearish
JKCEMENT,0.4468,6486.0,6690.0,3.05,4.75,0.95,0.52,True,True,False,False,60.95,6495.66,6444.21,True,True,bullish
COALINDIA,0.4463,384.0,392.45,2.15,4.04,0.71,0.75,False,False,False,False,178.06,384.28,388.86,False,False,bearish
POWERGRID,0.4461,293.0,301.5,2.82,3.99,0.79,0.62,False,True,False,False,226.82,295.31,298.0,False,False,bearish
GLAXO,0.4439,3149.5,3254.9,3.24,5.79,0.63,0.48,False,True,False,False,21.49,3144.81,3157.75,True,False,bearish
AEGISLOG,0.4436,728.55,761.0,4.26,5.63,0.56,0.29,False,False,False,False,23.05,741.12,768.15,False,False,bearish
NYKAA,0.4424,210.0,221.95,5.38,7.15,0.9,0.24,True,True,False,False,196.96,213.7,216.3,False,False,bearish
